filename,label
49000.png,4
49001.png,0
49002.png,9
49003.png,7
49004.png,9
49005.png,6
49006.png,6
49007.png,7
49008.png,0
49009.png,4
49010.png,2
49011.png,8
49012.png,4
49013.png,2
49014.png,1
49015.png,2
49016.png,9
49017.png,6
49018.png,1
49019.png,4
49020.png,0
49021.png,8
49022.png,4
49023.png,8
49024.png,7
49025.png,7
49026.png,5
49027.png,1
49028.png,6
49029.png,4
49030.png,1
49031.png,1
49032.png,2
49033.png,7
49034.png,1
49035.png,8
49036.png,0
49037.png,3
49038.png,2
49039.png,4
49040.png,3
49041.png,1
49042.png,8
49043.png,7
49044.png,7
49045.png,7
49046.png,3
49047.png,5
49048.png,0
49049.png,0
49050.png,2
49051.png,5
49052.png,6
49053.png,5
49054.png,1
49055.png,7
49056.png,2
49057.png,6
49058.png,7
49059.png,5
49060.png,4
49061.png,3
49062.png,9
49063.png,4
49064.png,3
49065.png,1
49066.png,6
49067.png,1
49068.png,2
49069.png,2
49070.png,8
49071.png,9
49072.png,3
49073.png,0
49074.png,2
49075.png,2
49076.png,1
49077.png,3
49078.png,5
49079.png,4
49080.png,7
49081.png,5
49082.png,4
49083.png,9
49084.png,8
49085.png,6
49086.png,6
49087.png,8
49088.png,6
49089.png,9
49090.png,5
49091.png,5
49092.png,5
49093.png,3
49094.png,6
49095.png,9
49096.png,7
49097.png,6
49098.png,4
49099.png,3
49100.png,1
49101.png,2
49102.png,4
49103.png,6
49104.png,2
49105.png,1
49106.png,3
49107.png,5
49108.png,1
49109.png,3
49110.png,2
49111.png,1
49112.png,1
49113.png,0
49114.png,5
49115.png,9
49116.png,4
49117.png,5
49118.png,2
49119.png,1
49120.png,5
49121.png,8
49122.png,9
49123.png,4
49124.png,9
49125.png,0
49126.png,6
49127.png,4
49128.png,8
49129.png,6
49130.png,3
49131.png,4
49132.png,5
49133.png,4
49134.png,6
49135.png,6
49136.png,6
49137.png,7
49138.png,2
49139.png,0
49140.png,1
49141.png,2
49142.png,8
49143.png,8
49144.png,2
49145.png,7
49146.png,0
49147.png,6
49148.png,1
49149.png,5
49150.png,8
49151.png,4
49152.png,6
49153.png,9
49154.png,8
49155.png,1
49156.png,1
49157.png,1
49158.png,8
49159.png,1
49160.png,0
49161.png,0
49162.png,1
49163.png,8
49164.png,6
49165.png,3
49166.png,4
49167.png,0
49168.png,4
49169.png,1
49170.png,7
49171.png,5
49172.png,7
49173.png,4
49174.png,2
49175.png,4
49176.png,1
49177.png,8
49178.png,1
49179.png,7
49180.png,1
49181.png,2
49182.png,0
49183.png,8
49184.png,0
49185.png,8
49186.png,5
49187.png,5
49188.png,0
49189.png,9
49190.png,9
49191.png,5
49192.png,9
49193.png,5
49194.png,6
49195.png,0
49196.png,4
49197.png,2
49198.png,1
49199.png,4
49200.png,3
49201.png,7
49202.png,2
49203.png,5
49204.png,1
49205.png,0
49206.png,7
49207.png,7
49208.png,1
49209.png,5
49210.png,8
49211.png,3
49212.png,2
49213.png,3
49214.png,8
49215.png,5
49216.png,3
49217.png,9
49218.png,4
49219.png,5
49220.png,3
49221.png,1
49222.png,2
49223.png,1
49224.png,0
49225.png,8
49226.png,0
49227.png,4
49228.png,0
49229.png,2
49230.png,5
49231.png,4
49232.png,9
49233.png,1
49234.png,7
49235.png,4
49236.png,4
49237.png,1
49238.png,0
49239.png,4
49240.png,3
49241.png,1
49242.png,3
49243.png,8
49244.png,9
49245.png,5
49246.png,6
49247.png,8
49248.png,0
49249.png,6
49250.png,2
49251.png,4
49252.png,3
49253.png,2
49254.png,8
49255.png,1
49256.png,6
49257.png,8
49258.png,1
49259.png,4
49260.png,4
49261.png,9
49262.png,6
49263.png,1
49264.png,4
49265.png,2
49266.png,4
49267.png,7
49268.png,4
49269.png,6
49270.png,8
49271.png,7
49272.png,3
49273.png,2
49274.png,4
49275.png,4
49276.png,7
49277.png,2
49278.png,6
49279.png,0
49280.png,8
49281.png,7
49282.png,4
49283.png,3
49284.png,3
49285.png,6
49286.png,3
49287.png,6
49288.png,6
49289.png,2
49290.png,1
49291.png,5
49292.png,0
49293.png,4
49294.png,5
49295.png,0
49296.png,8
49297.png,5
49298.png,1
49299.png,7
49300.png,8
49301.png,4
49302.png,4
49303.png,2
49304.png,6
49305.png,7
49306.png,2
49307.png,8
49308.png,5
49309.png,7
49310.png,9
49311.png,2
49312.png,3
49313.png,7
49314.png,2
49315.png,9
49316.png,1
49317.png,8
49318.png,5
49319.png,3
49320.png,7
49321.png,8
49322.png,6
49323.png,4
49324.png,0
49325.png,8
49326.png,6
49327.png,4
49328.png,7
49329.png,8
49330.png,1
49331.png,3
49332.png,2
49333.png,8
49334.png,3
49335.png,3
49336.png,2
49337.png,8
49338.png,3
49339.png,1
49340.png,4
49341.png,4
49342.png,0
49343.png,3
49344.png,7
49345.png,4
49346.png,2
49347.png,4
49348.png,0
49349.png,5
49350.png,8
49351.png,3
49352.png,9
49353.png,3
49354.png,9
49355.png,2
49356.png,2
49357.png,3
49358.png,6
49359.png,1
49360.png,7
49361.png,6
49362.png,8
49363.png,4
49364.png,9
49365.png,3
49366.png,4
49367.png,9
49368.png,3
49369.png,0
49370.png,0
49371.png,6
49372.png,0
49373.png,3
49374.png,6
49375.png,7
49376.png,0
49377.png,5
49378.png,6
49379.png,0
49380.png,8
49381.png,9
49382.png,6
49383.png,3
49384.png,4
49385.png,9
49386.png,1
49387.png,3
49388.png,5
49389.png,5
49390.png,6
49391.png,8
49392.png,0
49393.png,9
49394.png,0
49395.png,5
49396.png,6
49397.png,5
49398.png,1
49399.png,1
49400.png,8
49401.png,8
49402.png,2
49403.png,4
49404.png,7
49405.png,0
49406.png,2
49407.png,4
49408.png,0
49409.png,3
49410.png,7
49411.png,5
49412.png,9
49413.png,7
49414.png,2
49415.png,4
49416.png,3
