id,label
60001,9
60002,2
60003,1
60004,1
60005,6
60006,1
60007,4
60008,6
60009,5
60010,7
60011,4
60012,5
60013,5
60014,3
60015,2
60016,1
60017,2
60018,2
60019,8
60020,0
60021,2
60022,5
60023,7
60024,5
60025,1
60026,4
60027,6
60028,0
60029,9
60030,6
60031,8
60032,8
60033,3
60034,3
60035,8
60036,0
60037,7
60038,5
60039,7
60040,9
60041,0
60042,1
60043,6
60044,7
60045,6
60046,8
60047,2
60048,1
60049,2
60050,6
60051,4
60052,2
60053,5
60054,6
60055,2
60056,2
60057,8
60058,2
60059,8
60060,0
60061,7
60062,7
60063,8
60064,5
60065,1
60066,1
60067,2
60068,4
60069,7
60070,8
60071,7
60072,0
60073,2
60074,6
60075,2
60076,3
60077,1
60078,2
60079,8
60080,4
60081,1
60082,8
60083,5
60084,9
60085,5
60086,0
60087,0
60088,2
60089,0
60090,2
60091,5
60092,3
60093,6
60094,7
60095,1
60096,8
60097,0
60098,1
60099,4
60100,2
60101,3
60102,6
60103,7
60104,6
60105,7
60106,8
60107,5
60108,9
60109,9
60110,4
60111,2
60112,5
60113,7
60114,0
60115,5
60116,2
60117,8
60118,6
60119,7
60120,8
60121,0
60122,0
60123,9
60124,9
60125,3
60126,0
60127,8
60128,2
60129,1
60130,5
60131,4
60132,1
60133,9
60134,1
60135,8
60136,4
60137,2
60138,1
60139,2
60140,5
60141,1
60142,6
60143,0
60144,0
60145,1
60146,6
60147,1
60148,3
60149,2
60150,2
60151,0
60152,2
60153,1
60154,3
60155,5
60156,6
60157,4
60158,7
60159,9
60160,3
60161,7
60162,2
60163,3
60164,5
60165,0
60166,9
60167,2
60168,7
60169,4
60170,2
60171,0
60172,5
60173,2
60174,1
60175,2
60176,4
60177,3
60178,0
60179,9
60180,1
60181,0
60182,9
60183,0
60184,0
60185,7
60186,9
60187,9
60188,2
60189,4
60190,7
60191,1
60192,2
60193,3
60194,6
60195,3
60196,2
60197,8
60198,3
60199,6
60200,1
60201,1
60202,0
60203,2
60204,9
60205,2
60206,4
60207,0
60208,7
60209,9
60210,8
60211,4
60212,1
60213,8
60214,4
60215,1
60216,0
60217,1
60218,6
60219,7
60220,2
60221,8
60222,5
60223,6
60224,0
60225,7
60226,7
60227,6
60228,2
60229,7
60230,0
60231,7
60232,8
60233,9
60234,2
60235,9
60236,0
60237,5
60238,1
60239,4
60240,2
60241,5
60242,4
60243,9
60244,2
60245,2
60246,8
60247,6
60248,2
60249,6
60250,2
60251,9
60252,7
60253,6
60254,5
60255,5
60256,2
60257,8
60258,5
60259,2
60260,3
60261,0
60262,4
60263,8
60264,6
60265,0
60266,2
60267,4
60268,8
60269,9
60270,0
60271,1
60272,3
60273,0
60274,2
60275,3
60276,0
60277,8
60278,3
60279,7
60280,4
60281,0
60282,1
60283,2
60284,4
60285,0
60286,4
60287,0
60288,7
60289,5
60290,4
60291,5
60292,9
60293,5
60294,6
60295,5
60296,5
60297,1
60298,9
60299,8
60300,8
60301,3
60302,3
60303,6
60304,8
60305,0
60306,0
60307,2
60308,9
60309,7
60310,7
60311,1
60312,4
60313,6
60314,4
60315,6
60316,2
60317,7
60318,1
60319,6
60320,4
60321,2
60322,2
60323,6
60324,5
60325,6
60326,2
60327,7
60328,7
60329,7
60330,3
60331,3
60332,7
60333,2
60334,7
60335,1
60336,3
60337,7
60338,4
60339,2
60340,3
60341,4
60342,0
60343,3
60344,1
60345,0
60346,1
60347,9
60348,4
60349,9
60350,9
60351,1
60352,7
60353,6
60354,3
60355,0
60356,0
60357,0
60358,4
60359,8
60360,0
60361,1
60362,6
60363,2
60364,4
60365,4
60366,7
60367,3
60368,4
60369,6
60370,5
60371,0
60372,7
60373,9
60374,2
60375,0
60376,9
60377,3
60378,9
60379,3
60380,0
60381,5
60382,0
60383,0
60384,3
60385,5
60386,8
60387,1
60388,6
60389,2
60390,2
60391,6
60392,4
60393,9
60394,5
60395,2
60396,0
60397,6
60398,6
60399,1
60400,2
60401,0
60402,9
60403,7
60404,0
60405,4
60406,4
60407,0
60408,0
60409,2
60410,1
60411,0
60412,6
60413,7
60414,2
60415,9
60416,4
60417,2
60418,1
60419,5
60420,2
60421,5
60422,3
60423,8
60424,5
60425,8
60426,4
60427,4
60428,8
60429,9
60430,8
60431,6
60432,2
60433,4
60434,4
60435,8
60436,4
60437,1
60438,6
60439,1
60440,3
60441,0
60442,7
60443,8
60444,8
60445,6
60446,5
60447,3
60448,1
60449,9
60450,5
60451,3
60452,3
60453,0
60454,1
60455,2
60456,2
60457,9
60458,4
60459,0
60460,6
60461,6
60462,4
60463,2
60464,0
60465,0
60466,3
60467,3
60468,8
60469,2
60470,8
60471,9
60472,4
60473,0
60474,7
60475,6
60476,4
60477,6
60478,9
60479,2
60480,9
60481,5
60482,9
60483,3
60484,7
60485,5
60486,7
60487,8
60488,1
60489,6
60490,0
60491,6
60492,6
60493,8
60494,9
60495,7
60496,9
60497,1
60498,2
60499,7
60500,0
60501,6
60502,0
60503,5
60504,7
60505,1
60506,8
60507,2
60508,2
60509,2
60510,2
60511,4
60512,2
60513,2
60514,1
60515,9
60516,8
60517,5
60518,1
60519,9
60520,1
60521,6
60522,8
60523,3
60524,8
60525,9
60526,2
60527,2
60528,6
60529,8
60530,0
60531,2
60532,8
60533,5
60534,8
60535,8
60536,5
60537,0
60538,9
60539,4
60540,3
60541,4
60542,2
60543,5
60544,1
60545,0
60546,1
60547,2
