id,cc_cons
6975,2334.846383
43223,7306.258215
45502,1952.386395
12368,2295.998514
40415,5466.085333
31659,3823.938542
19585,2423.315597
11889,2304.11798
43494,4479.693314
2536,1738.430985
16896,1845.659536
23422,4544.087923
31074,4065.523796
32409,5612.039495
29846,912.2447794
4046,5148.396209
41350,1235.552325
24530,2431.716307
20128,1575.502345
25389,3574.186346
8913,9908.070148
41126,1412.930693
19678,4249.639532
1907,3193.106785
22003,3871.422801
1177,1338.913773
13941,2162.366207
19473,2192.140374
42500,2782.536354
3878,2759.390184
8973,2980.224846
9938,3065.319476
38581,1115.889454
41728,3672.442756
42180,1894.401243
23022,1511.903495
29322,4158.035784
38371,3789.000036
14582,4770.489559
37012,1868.507508
7993,3756.95882
32720,2283.772777
46172,8718.120275
2646,8461.029523
12238,4170.082489
17793,3393.521316
1661,3617.075725
30028,1705.701371
38142,2916.014278
21187,1249.820596
32066,2137.772216
39689,3219.466745
44715,6501.957171
766,1736.188247
38216,2565.982642
10622,8386.739934
42913,5418.410206
18904,3878.470109
19555,1250.909163
24285,2633.161524
13852,4460.12353
22599,12811.99795
18045,2369.198937
33600,1971.132536
18103,12346.97189
7314,5784.434844
26516,6753.422653
46770,1145.414657
9126,4130.218196
46819,3363.705785
10517,2612.862621
45647,2385.171755
26740,3189.569275
42782,2039.594601
12493,2498.239698
27311,3412.271188
11428,2491.825392
24193,3759.441387
22723,1881.728172
14362,1949.815875
17572,6301.056227
26477,11931.07944
21283,2228.071847
7599,3249.409201
33989,1913.546866
14945,1655.135183
18531,3201.196693
34513,3112.33639
12426,2964.389828
41416,1995.498633
31245,3869.223653
980,2034.18153
7462,1789.860968
26616,4122.251033
1197,11080.75977
11644,9126.872781
8146,2840.234212
29429,1096.503199
24599,1831.125731
30209,859.0668791
11455,3374.536608
27200,1308.008297
2399,1783.7039
45233,4500.30642
10849,1802.956781
115,2070.711204
31237,1542.936866
21669,6409.085782
9174,3221.271924
27083,1213.12623
7213,4740.620046
28851,3389.085118
42749,4265.161757
16742,3472.815948
35267,2901.469928
43984,2037.585031
7010,11312.12714
14426,1018.513605
19816,2068.47049
39466,1912.343937
18829,2771.969489
14473,4165.918981
46767,5094.396628
45144,1929.662434
44345,24659.31716
11714,3824.131918
13403,2703.823266
31814,2061.759462
43508,4082.290249
23906,3012.172562
2811,2584.219102
40103,6966.956293
18600,5540.049176
4014,4231.404315
13951,3199.346829
15102,1919.941522
32381,8207.553209
3813,8914.246367
28707,4108.696949
349,2955.011827
12470,4165.993951
19094,3728.040128
7929,7285.26195
46048,3427.305848
17261,9268.337823
46725,8956.874904
43947,5074.150793
17002,3602.349335
17779,2740.258718
42113,3693.062933
35665,1189.571151
18909,1511.748222
20179,1901.070758
11405,4676.967047
33245,2553.437189
18703,1935.677986
27819,2542.24648
45040,6292.915367
43672,2955.000735
7487,6289.297649
23293,4393.604568
9722,3986.518817
19191,3562.611447
33640,1533.69268
15760,1311.46073
3239,1364.681014
7870,3055.683556
6688,2101.019461
43489,2823.45553
44820,4923.725947
39063,2328.276337
2786,1427.662589
32090,2887.250618
29498,8950.2912
9932,8556.160271
1603,4385.80127
16911,1928.57174
42880,1806.526966
35345,2576.808603
5669,3931.010734
540,3115.415422
15257,4790.335555
46065,1196.650159
35233,2974.179515
39124,2132.474655
3078,1034.143783
11166,1208.463772
23888,4002.130445
1764,763.6085976
32624,1907.629227
40688,1284.045501
43431,2443.931365
36001,2270.6893
