user_sequence,challenge
4577_11,CI23848
4578_11,CI24530
4579_11,CI26955
4583_11,CI23856
4584_11,CI25142
4586_11,CI23848
4588_11,CI23855
4589_11,CI26170
4594_11,CI24530
4595_11,CI26168
4597_11,CI26170
4598_11,CI23691
4599_11,CI24871
4600_11,CI23848
4601_11,CI26168
4603_11,CI24954
4605_11,CI26955
4607_11,CI23848
4608_11,CI23975
4610_11,CI25126
4613_11,CI26943
4614_11,CI24187
4620_11,CI23975
4621_11,CI24531
4623_11,CI26951
4627_11,CI23933
4628_11,CI23975
4633_11,CI23848
4634_11,CI23714
4636_11,CI26169
4640_11,CI26169
4649_11,CI23769
4650_11,CI26171
4651_11,CI28573
4655_11,CI24530
4656_11,CI23691
4657_11,CI25125
4659_11,CI24944
4665_11,CI26169
4666_11,CI26958
4667_11,CI24953
4668_11,CI26170
4671_11,CI26171
4674_11,CI25142
4676_11,CI25126
4682_11,CI23848
4685_11,CI26163
4686_11,CI24915
4690_11,CI26211
4697_11,CI26210
4699_11,CI25056
4702_11,CI28576
4705_11,CI26210
4707_11,CI24958
4708_11,CI26951
4712_11,CI26169
4714_11,CI23769
4715_11,CI26171
4716_11,CI24953
4723_11,CI26210
4724_11,CI26171
4726_11,CI24228
4730_11,CI27665
4731_11,CI24187
4733_11,CI26171
4735_11,CI26171
4737_11,CI26171
4738_11,CI26051
4739_11,CI26171
4740_11,CI26171
4742_11,CI26171
4746_11,CI26171
4747_11,CI26052
4749_11,CI24953
4751_11,CI24953
4753_11,CI26210
4755_11,CI23769
4758_11,CI23848
4761_11,CI23848
4762_11,CI23714
4767_11,CI23714
4770_11,CI24138
4773_11,CI24953
4774_11,CI26213
4778_11,CI26171
4780_11,CI24530
4782_11,CI26955
4783_11,CI26171
4784_11,CI23975
4786_11,CI26169
4790_11,CI25135
4791_11,CI26951
4794_11,CI24956
4796_11,CI23663
4803_11,CI23856
4805_11,CI26958
4807_11,CI28567
4808_11,CI26951
4814_11,CI25633
4817_11,CI26210
4821_11,CI23975
4822_11,CI28577
4825_11,CI24530
4827_11,CI26958
4832_11,CI24958
4840_11,CI26952
4841_11,CI23848
4846_11,CI26210
4852_11,CI26170
4857_11,CI23667
4860_11,CI26959
4862_11,CI26956
4866_11,CI26171
4870_11,CI28585
4872_11,CI23667
4873_11,CI26959
4874_11,CI26171
4875_11,CI23648
4876_11,CI23848
4877_11,CI26171
4881_11,CI26051
4883_11,CI23648
4885_11,CI26209
4886_11,CI28577
4887_11,CI23975
4891_11,CI23667
4893_11,CI26958
4895_11,CI23848
4901_11,CI26173
4902_11,CI26956
4906_11,CI23663
4912_11,CI26949
4913_11,CI24958
4915_11,CI28576
4920_11,CI26171
4926_11,CI26959
4928_11,CI24871
4929_11,CI26943
4933_11,CI25142
4935_11,CI24953
4938_11,CI26952
4941_11,CI26210
4944_11,CI23663
4945_11,CI24953
4952_11,CI23856
4954_11,CI23663
4955_11,CI26915
4957_11,CI26170
4961_11,CI26170
4962_11,CI26958
4966_11,CI26211
4968_11,CI24958
4969_11,CI25125
4970_11,CI26052
4971_11,CI23913
4973_11,CI24954
4975_11,CI26213
4987_11,CI26213
4989_11,CI24029
4993_11,CI23848
4997_11,CI25135
4998_11,CI23663
4999_11,CI26961
5001_11,CI26941
5003_11,CI28579
5006_11,CI26958
5008_11,CI26211
5015_11,CI23848
5017_11,CI26211
5020_11,CI26211
5021_11,CI26166
5023_11,CI24175
5025_11,CI26961
5027_11,CI24867
5028_11,CI26944
5033_11,CI24138
5035_11,CI28569
5037_11,CI26955
5042_11,CI26210
5044_11,CI24187
5045_11,CI23691
5047_11,CI26956
5050_11,CI26170
5051_11,CI24534
5054_11,CI26953
5055_11,CI26958
5056_11,CI25125
5057_11,CI27791
5058_11,CI23975
5060_11,CI24138
5062_11,CI28570
5063_11,CI26211
5068_11,CI23691
5074_11,CI23714
5075_11,CI26216
5077_11,CI27660
5082_11,CI28574
5084_11,CI26211
5085_11,CI24530
5087_11,CI23769
5088_11,CI26956
5090_11,CI24868
5091_11,CI26217
5096_11,CI26209
5097_11,CI23855
5101_11,CI26958
5110_11,CI26171
5112_11,CI23839
5114_11,CI26211
5121_11,CI26213
5123_11,CI23663
5124_11,CI26209
5125_11,CI26213
5127_11,CI26211
5132_11,CI26209
5138_11,CI25135
5139_11,CI28583
5140_11,CI26915
5144_11,CI23663
5146_11,CI27032
5147_11,CI23933
5151_11,CI28580
5152_11,CI26023
5157_11,CI25126
5158_11,CI24530
5159_11,CI26948
5161_11,CI27030
5163_11,CI24741
5166_11,CI23839
5167_11,CI24958
5169_11,CI26211
5172_11,CI25135
5175_11,CI23769
5180_11,CI24533
5182_11,CI23769
5184_11,CI26211
5187_11,CI23663
5188_11,CI23691
5190_11,CI24968
5192_11,CI26213
5195_11,CI24866
5197_11,CI26216
5199_11,CI24954
5202_11,CI24939
5209_11,CI24530
5212_11,CI26214
5213_11,CI26171
5214_11,CI24531
5216_11,CI27662
5218_11,CI26953
5219_11,CI26213
5220_11,CI26915
5222_11,CI23830
5225_11,CI23839
5228_11,CI24952
5229_11,CI24962
5230_11,CI28118
5234_11,CI26953
5235_11,CI24958
5236_11,CI24953
5239_11,CI26961
5240_11,CI26208
5244_11,CI23702
5246_11,CI23933
5247_11,CI26949
5249_11,CI24534
5250_11,CI24868
5252_11,CI24523
5254_11,CI24953
5258_11,CI26214
5260_11,CI28569
5262_11,CI26953
5264_11,CI26211
5265_11,CI26959
5266_11,CI26916
5268_11,CI26956
5271_11,CI26211
5283_11,CI28580
5284_11,CI28574
5286_11,CI27665
5289_11,CI24930
5297_11,CI26213
5301_11,CI24031
5303_11,CI23648
5305_11,CI26209
5309_11,CI23839
5315_11,CI26209
5319_11,CI25375
5320_11,CI25135
5326_11,CI26210
5327_11,CI26957
5328_11,CI23714
5329_11,CI25135
5331_11,CI26211
5333_11,CI26210
5338_11,CI23769
5340_11,CI26214
5346_11,CI23663
5349_11,CI24533
5351_11,CI25125
5352_11,CI28580
5358_11,CI24958
5360_11,CI24187
5365_11,CI24953
5366_11,CI27669
5368_11,CI23691
5378_11,CI26219
5381_11,CI23855
5382_11,CI27031
5384_11,CI26210
5386_11,CI24531
5387_11,CI23691
5396_11,CI26213
5398_11,CI28580
5399_11,CI26961
5401_11,CI24532
5404_11,CI26915
5406_11,CI24109
5409_11,CI26221
5417_11,CI24527
5423_11,CI28240
5424_11,CI24524
5425_11,CI26214
5428_11,CI23927
5435_11,CI26221
5436_11,CI26210
5438_11,CI25126
5440_11,CI23836
5442_11,CI26213
5443_11,CI26213
5444_11,CI26961
5446_11,CI26943
5450_11,CI24958
5451_11,CI23663
5453_11,CI26211
5454_11,CI28575
5456_11,CI24952
5460_11,CI26953
5461_11,CI23933
5462_11,CI23691
5470_11,CI27665
5471_11,CI26213
5473_11,CI26959
5477_11,CI27033
5480_11,CI24530
5481_11,CI26214
5483_11,CI26961
5485_11,CI27033
5486_11,CI25125
5487_11,CI26208
5490_11,CI26959
5495_11,CI26923
5496_11,CI26960
5504_11,CI26175
5507_11,CI28568
5510_11,CI26957
5512_11,CI26956
5516_11,CI24930
5523_11,CI26943
5526_11,CI26216
5527_11,CI24031
5528_11,CI26943
5529_11,CI25075
5531_11,CI26214
5532_11,CI26154
5533_11,CI26915
5539_11,CI24530
5543_11,CI26217
5547_11,CI23714
5555_11,CI26171
5556_11,CI26209
5561_11,CI26214
5563_11,CI28573
5565_11,CI28576
5568_11,CI25124
5573_11,CI25124
5574_11,CI27032
5577_11,CI26175
5579_11,CI26209
5582_11,CI26956
5584_11,CI26214
5599_11,CI23932
5604_11,CI26209
5607_11,CI24918
5608_11,CI26215
5612_11,CI24530
5616_11,CI24968
5620_11,CI23702
5622_11,CI23648
5623_11,CI26171
5628_11,CI26214
5629_11,CI28582
5632_11,CI24527
5642_11,CI26939
5644_11,CI26919
5645_11,CI26961
5647_11,CI25633
5648_11,CI26943
5652_11,CI25124
5655_11,CI26216
5660_11,CI24917
5663_11,CI26943
5664_11,CI26961
5665_11,CI26915
5667_11,CI24187
5668_11,CI26156
5669_11,CI24184
5676_11,CI26960
5677_11,CI25123
5684_11,CI24138
5685_11,CI24954
5686_11,CI28571
5690_11,CI26960
5691_11,CI23667
5692_11,CI26211
5693_11,CI24031
5695_11,CI26221
5698_11,CI26209
5708_11,CI23691
5709_11,CI26051
5712_11,CI23663
5714_11,CI26213
5720_11,CI23848
5721_11,CI24958
5723_11,CI24940
5726_11,CI24940
5733_11,CI23855
5735_11,CI27028
5739_11,CI23691
5741_11,CI26961
5743_11,CI23714
5745_11,CI23769
5746_11,CI23648
5747_11,CI25135
5748_11,CI26219
5750_11,CI26214
5755_11,CI23848
5756_11,CI24915
5766_11,CI26218
5768_11,CI23769
5771_11,CI26208
5772_11,CI25124
5774_11,CI28582
5778_11,CI25123
5780_11,CI25053
5782_11,CI28574
5785_11,CI25052
5787_11,CI26953
5791_11,CI23714
5795_11,CI24081
5796_11,CI26925
5798_11,CI26958
5801_11,CI23667
5803_11,CI26918
5804_11,CI26221
5805_11,CI23714
5808_11,CI26961
5809_11,CI24876
5810_11,CI26214
5820_11,CI26163
5822_11,CI24532
5823_11,CI24029
5825_11,CI26960
5827_11,CI24206
5828_11,CI24521
5829_11,CI28583
5831_11,CI26959
5832_11,CI24953
5834_11,CI26171
5835_11,CI26210
5839_11,CI26209
5841_11,CI27035
5843_11,CI27038
5845_11,CI27038
5846_11,CI26218
5847_11,CI23697
5849_11,CI26955
5853_11,CI26211
5858_11,CI26216
5863_11,CI23691
5868_11,CI26190
5869_11,CI26953
5871_11,CI26210
5873_11,CI26501
5875_11,CI27282
5877_11,CI23924
5878_11,CI23839
5881_11,CI27669
5882_11,CI26213
5885_11,CI26209
5886_11,CI23848
5887_11,CI28582
5888_11,CI24915
5889_11,CI24958
5892_11,CI23667
5894_11,CI25135
5896_11,CI26214
5897_11,CI23714
5898_11,CI26215
5899_11,CI24958
5903_11,CI26961
5904_11,CI23714
5909_11,CI23663
5912_11,CI26214
5915_11,CI26211
5924_11,CI26209
5925_11,CI24530
5930_11,CI26956
5931_11,CI26214
5932_11,CI23714
5936_11,CI24925
5937_11,CI24958
5938_11,CI24187
5939_11,CI26213
5941_11,CI25141
5944_11,CI25053
5948_11,CI26209
5951_11,CI24868
5952_11,CI28585
5953_11,CI25140
5955_11,CI23648
5957_11,CI26210
5958_11,CI26949
5959_11,CI27660
5960_11,CI26208
5964_11,CI26209
5967_11,CI27662
5970_11,CI27660
5971_11,CI26219
5975_11,CI24968
