ID,datetime,electricity_consumption
0,7/1/2013 0:00,216
1,7/1/2013 1:00,210
2,7/1/2013 2:00,225
3,7/1/2013 3:00,216
4,7/1/2013 4:00,222
5,7/1/2013 5:00,216
6,7/1/2013 6:00,219
7,7/1/2013 7:00,222
8,7/1/2013 8:00,219
9,7/1/2013 9:00,222
10,7/1/2013 10:00,201
11,7/1/2013 11:00,204
12,7/1/2013 12:00,210
13,7/1/2013 13:00,216
14,7/1/2013 14:00,216
15,7/1/2013 15:00,216
16,7/1/2013 16:00,213
17,7/1/2013 17:00,198
18,7/1/2013 18:00,198
19,7/1/2013 19:00,213
20,7/1/2013 20:00,216
21,7/1/2013 21:00,222
22,7/1/2013 22:00,210
23,7/1/2013 23:00,216
24,7/2/2013 0:00,210
25,7/2/2013 1:00,231
26,7/2/2013 2:00,210
27,7/2/2013 3:00,213
28,7/2/2013 4:00,204
29,7/2/2013 5:00,222
30,7/2/2013 6:00,210
31,7/2/2013 7:00,210
32,7/2/2013 8:00,198
33,7/2/2013 9:00,204
34,7/2/2013 10:00,225
35,7/2/2013 11:00,213
36,7/2/2013 12:00,204
37,7/2/2013 13:00,237
38,7/2/2013 14:00,210
39,7/2/2013 15:00,234
40,7/2/2013 16:00,243
41,7/2/2013 17:00,234
42,7/2/2013 18:00,240
43,7/2/2013 19:00,276
44,7/2/2013 20:00,264
45,7/2/2013 21:00,270
46,7/2/2013 22:00,282
47,7/2/2013 23:00,258
48,7/3/2013 0:00,249
49,7/3/2013 1:00,270
50,7/3/2013 2:00,288
51,7/3/2013 3:00,348
52,7/3/2013 4:00,396
53,7/3/2013 5:00,414
54,7/3/2013 6:00,381
55,7/3/2013 7:00,411
56,7/3/2013 8:00,381
57,7/3/2013 9:00,324
58,7/3/2013 10:00,327
59,7/3/2013 11:00,300
60,7/3/2013 12:00,312
61,7/3/2013 13:00,333
62,7/3/2013 14:00,372
63,7/3/2013 15:00,417
64,7/3/2013 16:00,423
65,7/3/2013 17:00,414
66,7/3/2013 18:00,396
67,7/3/2013 19:00,486
68,7/3/2013 20:00,519
69,7/3/2013 21:00,447
70,7/3/2013 22:00,474
71,7/3/2013 23:00,459
72,7/4/2013 0:00,462
73,7/4/2013 1:00,504
74,7/4/2013 2:00,384
75,7/4/2013 3:00,342
76,7/4/2013 4:00,276
77,7/4/2013 5:00,261
78,7/4/2013 6:00,273
79,7/4/2013 7:00,279
80,7/4/2013 8:00,240
81,7/4/2013 9:00,273
82,7/4/2013 10:00,276
83,7/4/2013 11:00,312
84,7/4/2013 12:00,294
85,7/4/2013 13:00,288
86,7/4/2013 14:00,300
87,7/4/2013 15:00,303
88,7/4/2013 16:00,255
89,7/4/2013 17:00,279
90,7/4/2013 18:00,270
91,7/4/2013 19:00,252
92,7/4/2013 20:00,273
93,7/4/2013 21:00,231
94,7/4/2013 22:00,246
95,7/4/2013 23:00,231
96,7/5/2013 0:00,228
97,7/5/2013 1:00,210
98,7/5/2013 2:00,213
99,7/5/2013 3:00,213
100,7/5/2013 4:00,231
101,7/5/2013 5:00,225
102,7/5/2013 6:00,210
103,7/5/2013 7:00,201
104,7/5/2013 8:00,213
105,7/5/2013 9:00,204
106,7/5/2013 10:00,204
107,7/5/2013 11:00,204
108,7/5/2013 12:00,198
109,7/5/2013 13:00,210
110,7/5/2013 14:00,186
111,7/5/2013 15:00,192
112,7/5/2013 16:00,207
113,7/5/2013 17:00,207
114,7/5/2013 18:00,180
115,7/5/2013 19:00,192
116,7/5/2013 20:00,192
117,7/5/2013 21:00,192
118,7/5/2013 22:00,231
119,7/5/2013 23:00,210
120,7/6/2013 0:00,210
121,7/6/2013 1:00,204
122,7/6/2013 2:00,213
123,7/6/2013 3:00,204
124,7/6/2013 4:00,207
125,7/6/2013 5:00,186
126,7/6/2013 6:00,186
127,7/6/2013 7:00,207
128,7/6/2013 8:00,192
129,7/6/2013 9:00,195
130,7/6/2013 10:00,186
131,7/6/2013 11:00,201
132,7/6/2013 12:00,192
133,7/6/2013 13:00,216
134,7/6/2013 14:00,204
135,7/6/2013 15:00,204
136,7/6/2013 16:00,186
137,7/6/2013 17:00,222
138,7/6/2013 18:00,195
139,7/6/2013 19:00,201
140,7/6/2013 20:00,213
141,7/6/2013 21:00,198
142,7/6/2013 22:00,231
143,7/6/2013 23:00,213
144,7/7/2013 0:00,201
145,7/7/2013 1:00,195
146,7/7/2013 2:00,201
147,7/7/2013 3:00,210
148,7/7/2013 4:00,204
149,7/7/2013 5:00,192
150,7/7/2013 6:00,213
151,7/7/2013 7:00,216
152,7/7/2013 8:00,228
153,7/7/2013 9:00,225
154,7/7/2013 10:00,234
155,7/7/2013 11:00,231
156,7/7/2013 12:00,240
157,7/7/2013 13:00,261
158,7/7/2013 14:00,258
159,7/7/2013 15:00,270
160,7/7/2013 16:00,270
161,7/7/2013 17:00,237
162,7/7/2013 18:00,270
163,7/7/2013 19:00,270
164,7/7/2013 20:00,273
165,7/7/2013 21:00,294
166,7/7/2013 22:00,282
167,7/7/2013 23:00,306
168,7/8/2013 0:00,330
169,7/8/2013 1:00,348
170,7/8/2013 2:00,384
171,7/8/2013 3:00,372
172,7/8/2013 4:00,378
173,7/8/2013 5:00,405
174,7/8/2013 6:00,342
175,7/8/2013 7:00,279
176,7/8/2013 8:00,228
177,7/8/2013 9:00,207
178,7/8/2013 10:00,189
179,7/8/2013 11:00,213
180,7/8/2013 12:00,201
181,7/8/2013 13:00,210
182,7/8/2013 14:00,210
183,7/8/2013 15:00,189
184,7/8/2013 16:00,213
185,7/8/2013 17:00,210
186,7/8/2013 18:00,222
187,7/8/2013 19:00,204
188,7/8/2013 20:00,204
189,7/8/2013 21:00,222
190,7/8/2013 22:00,222
191,7/8/2013 23:00,216
192,7/9/2013 0:00,201
193,7/9/2013 1:00,195
194,7/9/2013 2:00,213
195,7/9/2013 3:00,201
196,7/9/2013 4:00,216
197,7/9/2013 5:00,201
198,7/9/2013 6:00,195
199,7/9/2013 7:00,201
200,7/9/2013 8:00,195
201,7/9/2013 9:00,210
202,7/9/2013 10:00,198
203,7/9/2013 11:00,198
204,7/9/2013 12:00,222
205,7/9/2013 13:00,222
206,7/9/2013 14:00,189
207,7/9/2013 15:00,204
208,7/9/2013 16:00,213
209,7/9/2013 17:00,210
210,7/9/2013 18:00,210
211,7/9/2013 19:00,222
212,7/9/2013 20:00,213
213,7/9/2013 21:00,222
214,7/9/2013 22:00,195
215,7/9/2013 23:00,192
216,7/10/2013 0:00,210
217,7/10/2013 1:00,204
218,7/10/2013 2:00,204
219,7/10/2013 3:00,222
220,7/10/2013 4:00,219
221,7/10/2013 5:00,204
222,7/10/2013 6:00,222
223,7/10/2013 7:00,195
224,7/10/2013 8:00,201
225,7/10/2013 9:00,198
226,7/10/2013 10:00,189
227,7/10/2013 11:00,222
228,7/10/2013 12:00,210
229,7/10/2013 13:00,216
230,7/10/2013 14:00,207
231,7/10/2013 15:00,198
232,7/10/2013 16:00,234
233,7/10/2013 17:00,240
234,7/10/2013 18:00,261
235,7/10/2013 19:00,252
236,7/10/2013 20:00,285
237,7/10/2013 21:00,327
238,7/10/2013 22:00,315
239,7/10/2013 23:00,315
240,7/11/2013 0:00,309
241,7/11/2013 1:00,264
242,7/11/2013 2:00,216
243,7/11/2013 3:00,234
244,7/11/2013 4:00,213
245,7/11/2013 5:00,198
246,7/11/2013 6:00,210
247,7/11/2013 7:00,186
248,7/11/2013 8:00,189
249,7/11/2013 9:00,204
250,7/11/2013 10:00,204
251,7/11/2013 11:00,216
252,7/11/2013 12:00,201
253,7/11/2013 13:00,210
254,7/11/2013 14:00,195
