ID,Segmentation
458989,B
458994,C
458996,A
459000,C
459001,C
459003,C
459005,B
459008,B
459013,C
459014,D
459015,D
459016,D
459024,C
459026,D
459032,A
459033,B
459036,A
459039,C
459041,D
459045,B
459056,B
459057,D
459058,A
459059,A
459061,A
459064,D
459065,D
459074,C
459077,A
459079,A
459080,D
459083,C
459090,A
459091,B
459093,C
459100,B
459106,C
459114,C
459116,C
459117,C
459118,D
459119,C
459120,D
459121,C
459123,C
459130,A
459132,D
459136,C
459140,D
459143,B
459144,A
459145,A
459150,A
459160,C
459161,C
459162,A
459163,A
459167,C
459170,B
459171,C
459172,D
459175,C
459181,D
459182,C
459184,A
459185,D
459193,A
459194,C
459196,D
459208,C
459209,C
459210,C
459212,C
459213,A
459216,A
459220,A
459221,B
459222,C
459223,C
459224,C
459227,A
459229,B
459236,B
459237,A
459244,B
459247,C
459258,B
459263,D
459264,C
459266,D
459270,A
459284,C
459287,D
459288,A
459289,A
459290,C
459292,C
459293,D
459296,C
459300,C
459307,B
459310,D
459316,D
459318,D
459320,D
459322,A
459323,D
459338,D
459339,A
459344,C
459347,B
459349,C
459352,B
459353,C
459354,C
459355,A
459360,C
459361,A
459362,A
459363,A
459364,B
459369,A
459375,A
459377,C
459383,D
459384,C
459385,C
459386,B
459391,D
459394,A
459397,B
459398,C
459401,C
459403,C
459405,A
459407,A
459409,B
459410,B
459412,B
459413,A
459415,A
459418,D
459419,B
459420,B
459421,A
459422,A
459423,D
459424,B
459428,D
459432,A
459436,B
459439,A
459445,C
459447,B
459449,B
459451,C
459456,D
459458,D
459459,A
459461,C
459464,B
459466,C
459467,C
459469,A
459471,C
459480,A
459481,A
459482,D
459485,A
459496,A
459497,C
459499,D
459503,C
459505,A
459507,D
459509,D
459512,B
459515,D
459516,C
459518,B
459535,C
459536,D
459538,B
459541,C
459549,D
459555,A
459558,D
459564,A
459566,C
459567,C
459571,C
459576,A
459579,B
459581,A
459582,A
459583,A
459585,A
459587,A
459588,A
459591,C
459592,D
459594,A
459597,C
459603,A
459607,B
459608,A
459612,D
459616,D
459617,D
459618,C
459621,D
459625,B
459626,A
459632,D
459644,D
459652,A
459658,C
459664,B
459665,C
459672,C
459673,B
459678,D
459680,A
459686,C
459691,A
459692,C
459693,C
459699,B
459701,B
459710,B
459711,D
459712,D
459713,D
459715,D
459718,B
459725,B
459727,B
459740,D
459742,C
459745,A
459746,B
459747,C
459748,C
459755,C
459756,B
459760,A
459763,D
459767,D
459771,A
459779,A
459780,A
459785,A
459793,A
459795,A
459801,D
459804,C
459806,B
459808,B
459815,A
459816,D
459819,B
459821,D
459822,D
459825,D
459827,C
459832,B
459845,D
459851,B
459853,A
459856,B
459857,A
459861,D
459864,A
459866,B
459867,C
459869,D
459871,A
459885,A
459886,A
459887,C
459889,B
459897,C
459909,B
459910,B
459911,D
459914,D
459923,D
459925,D
459937,A
459943,B
459945,C
459946,B
459949,B
459953,B
459961,A
459962,B
459966,B
459968,A
459970,A
459973,A
459974,A
459975,B
459981,A
459986,B
459995,A
459996,A
459998,B
460004,B
460006,D
460014,D
460023,A
460027,A
460033,A
460036,D
460040,B
460045,B
460046,B
460050,A
460051,A
460052,B
460058,B
460059,D
460061,D
460066,D
460068,B
460073,B
460075,B
460079,A
460081,B
460088,D
460090,A
460093,A
460095,C
460097,B
460099,B
460101,D
460103,A
460105,B
460106,A
460107,C
460108,C
460109,C
460110,C
460112,C
460116,D
460118,B
460119,D
460122,A
460124,A
460126,D
460134,D
460135,B
460140,B
460141,B
460144,A
460146,A
460147,C
460157,D
460160,D
460162,D
460166,D
460167,C
460168,C
460171,C
460174,C
460175,C
460177,B
460179,B
460183,D
460185,D
460187,A
460189,D
460190,D
460192,D
460196,D
460206,B
460211,A
460212,D
460214,B
460222,D
460223,A
460227,C
460242,C
460243,A
460247,D
460248,D
460252,A
460263,B
460265,B
460270,B
460272,A
460275,A
460276,C
460281,D
460283,A
460284,A
460287,B
460289,C
460298,A
460303,A
460305,D
460306,D
460310,D
460315,D
460319,D
460322,A
460323,A
460324,A
460327,B
460333,A
460336,B
460340,A
460341,D
460344,C
460346,C
