ID,Estimated_Insects_Count,Crop_Type,Soil_Type,Pesticide_Use_Category,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Crop_Damage
F00000001,188,1,0,1,0,0,0,1,A
F00000003,209,1,0,1,0,0,0,2,B
F00000004,257,1,0,1,0,0,0,2,B
F00000005,257,1,1,1,0,0,0,2,B
F00000006,342,1,0,1,0,0,0,2,B
F00000008,448,0,1,1,0,,0,2,B
F00000009,448,0,1,1,0,,0,2,B
F00000010,577,1,0,1,0,0,0,1,C
F00000012,731,0,0,1,0,0,0,2,A
F00000020,1132,1,0,1,0,0,0,1,C
F00000021,1212,1,0,1,0,,0,3,A
F00000023,1575,0,0,1,0,0,0,1,B
F00000024,1575,0,1,1,0,0,0,2,B
F00000028,1575,1,1,1,0,0,0,2,B
F00000029,1575,1,1,1,0,0,0,2,C
F00000030,1785,1,1,1,0,0,0,2,B
F00000035,2138,0,1,1,0,0,0,1,B
F00000037,2401,0,1,1,0,,0,1,B
F00000038,2401,1,1,1,0,0,0,2,B
F00000039,2401,1,1,1,0,0,0,2,B
F00000045,2999,0,1,1,0,0,0,3,B
F00000048,3516,1,0,1,0,0,0,2,A
F00000049,3895,1,1,1,0,0,0,1,B
F00000050,4096,1,1,1,0,0,0,2,B
F00000052,150,0,0,3,30,26,0,2,A
F00000054,151,0,0,3,40,20,0,1,A
F00000055,150,0,0,3,60,15,0,2,A
F00000058,168,0,1,3,20,14,0,2,A
F00000062,168,0,1,3,20,15,0,2,B
F00000063,188,0,0,3,25,19,0,1,A
F00000065,188,0,1,3,40,24,0,3,A
F00000068,209,0,1,3,20,8,0,3,A
F00000071,232,0,0,3,45,23,0,2,A
F00000072,231,0,1,3,30,25,0,2,A
F00000075,256,0,0,3,20,28,0,3,A
F00000076,257,0,0,3,30,,0,2,A
F00000077,256,0,0,3,40,29,0,1,A
F00000080,283,0,0,3,25,22,0,1,A
F00000081,283,0,0,3,50,24,0,2,A
F00000082,283,0,1,3,15,24,0,3,A
F00000083,283,0,1,3,45,20,0,1,A
