id,customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,days_since_prev_campaign_contact,num_contacts_prev_campaign,prev_campaign_outcome,term_deposit_subscribed
id_43823,28.0,management,single,tertiary,no,285.0,yes,no,unknown,26,jun,303.0,4.0,,0,unknown,0
id_32289,34.0,blue-collar,married,secondary,no,934.0,no,yes,cellular,18,nov,143.0,2.0,132.0,1,other,0
id_10523,46.0,technician,married,secondary,no,656.0,no,no,cellular,5,feb,101.0,4.0,,0,unknown,0
id_43951,34.0,services,single,secondary,no,2.0,yes,no,unknown,20,may,127.0,3.0,,0,unknown,0
id_40992,41.0,blue-collar,married,primary,no,1352.0,yes,no,cellular,13,may,49.0,2.0,,0,unknown,0
id_12681,65.0,retired,married,primary,no,2880.0,no,no,cellular,23,apr,163.0,1.0,,0,unknown,1
id_41178,57.0,blue-collar,married,primary,no,495.0,no,no,cellular,18,aug,687.0,4.0,,0,unknown,1
id_35102,37.0,management,married,tertiary,no,650.0,yes,,unknown,26,may,210.0,1.0,,0,unknown,0
id_34750,29.0,technician,married,secondary,no,265.0,yes,no,cellular,19,aug,160.0,2.0,,0,unknown,0
id_1406,50.0,blue-collar,married,secondary,no,407.0,yes,yes,cellular,7,aug,233.0,2.0,,0,unknown,0
id_2153,52.0,blue-collar,married,tertiary,no,1779.0,no,no,cellular,19,nov,1195.0,3.0,160.0,1,failure,0
id_17866,35.0,technician,single,secondary,no,5212.0,yes,no,cellular,7,may,303.0,2.0,,0,unknown,0
id_36237,18.0,blue-collar,single,secondary,no,420.0,yes,no,cellular,16,apr,478.0,1.0,,0,unknown,1
id_43255,50.0,management,married,secondary,no,4873.0,no,no,telephone,6,feb,381.0,6.0,213.0,9,failure,0
id_5735,55.0,blue-collar,married,primary,no,762.0,no,no,unknown,18,jun,66.0,1.0,,0,unknown,0
id_12246,42.0,management,married,tertiary,no,55.0,yes,no,cellular,17,nov,57.0,1.0,126.0,3,failure,0
id_19188,37.0,blue-collar,single,primary,no,3.0,no,no,unknown,5,jun,21.0,1.0,,0,unknown,0
id_31616,41.0,technician,married,secondary,no,-3.0,yes,no,cellular,16,apr,138.0,1.0,300.0,1,failure,0
id_17398,41.0,services,married,secondary,no,-145.0,no,yes,unknown,6,jun,201.0,1.0,,0,unknown,0
id_32668,53.0,retired,divorced,secondary,yes,-204.0,no,yes,unknown,6,jun,176.0,1.0,,0,unknown,0
id_11871,58.0,blue-collar,married,secondary,no,1.0,no,yes,cellular,22,jul,138.0,2.0,,0,unknown,0
id_16593,70.0,retired,divorced,primary,no,479.0,no,no,cellular,2,jul,241.0,2.0,,0,unknown,1
id_8740,34.0,blue-collar,married,primary,no,3.0,yes,no,unknown,21,may,49.0,2.0,,0,unknown,0
id_15826,31.0,management,single,tertiary,no,3.0,yes,no,unknown,9,may,80.0,3.0,,0,unknown,0
id_32623,41.0,entrepreneur,married,primary,no,150.0,no,no,cellular,20,aug,75.0,2.0,,0,unknown,0
id_9411,34.0,services,single,secondary,no,1038.0,no,yes,unknown,3,jul,89.0,1.0,,0,unknown,0
id_37166,28.0,services,single,primary,no,340.0,no,no,unknown,4,jul,,3.0,,0,unknown,1
id_34844,38.0,technician,divorced,secondary,no,528.0,no,no,cellular,29,jan,212.0,3.0,226.0,7,failure,0
id_6701,45.0,admin.,single,secondary,no,10390.0,yes,no,cellular,20,nov,101.0,1.0,,0,unknown,0
id_2770,33.0,admin.,single,secondary,no,54.0,no,no,cellular,29,jan,399.0,1.0,,0,unknown,0
id_18544,25.0,student,single,tertiary,no,192.0,no,no,cellular,3,apr,57.0,2.0,,0,unknown,0
id_33225,61.0,admin.,married,primary,no,882.0,yes,no,cellular,30,jan,113.0,5.0,259.0,7,failure,0
id_20948,37.0,management,married,secondary,no,0.0,no,no,cellular,12,aug,126.0,2.0,,0,unknown,0
id_31654,31.0,admin.,married,secondary,no,93.0,yes,no,cellular,18,may,145.0,2.0,364.0,1,success,0
id_38719,20.0,housemaid,single,secondary,no,649.0,yes,no,cellular,14,may,131.0,1.0,367.0,4,failure,0
id_44317,54.0,management,married,tertiary,no,1459.0,no,no,cellular,2,oct,195.0,2.0,94.0,1,success,1
id_1993,36.0,admin.,married,secondary,no,-327.0,yes,no,cellular,29,jul,117.0,8.0,,0,unknown,0
id_16413,64.0,retired,married,primary,no,50.0,no,no,cellular,9,sep,162.0,3.0,92.0,1,success,1
id_13459,30.0,self-employed,married,secondary,no,580.0,yes,no,cellular,13,oct,834.0,1.0,152.0,6,failure,0
