Loan_ID,Interest_Rate
10164310,2
10164311,1
10164312,3
10164313,2
10164314,2
10164315,3
10164316,3
10164317,3
10164318,2
10164319,3
10164320,3
10164321,3
10164322,2
10164323,2
10164324,3
10164325,1
10164326,2
10164327,3
10164328,3
10164329,3
10164330,2
10164331,2
10164332,3
10164333,3
10164334,2
10164335,3
10164336,3
10164337,2
10164338,3
10164339,2
10164340,2
10164341,2
10164342,2
10164343,2
10164344,3
10164345,3
10164346,2
10164347,3
10164348,2
10164349,2
10164350,2
10164351,3
10164352,2
10164353,2
10164354,2
10164355,3
10164356,2
10164357,3
10164358,3
10164359,2
10164360,2
10164361,2
10164362,3
10164363,2
10164364,2
10164365,2
10164366,2
10164367,2
10164368,1
10164369,2
10164370,2
10164371,2
10164372,2
10164373,2
10164374,2
10164375,2
10164376,2
10164377,1
10164378,2
10164379,2
10164380,3
10164381,2
10164382,2
10164383,2
10164384,3
10164385,2
10164386,2
10164387,3
10164388,3
10164389,1
10164390,3
10164391,2
10164392,2
10164393,3
10164394,3
10164395,2
10164396,2
10164397,2
10164398,2
10164399,3
10164400,3
10164401,2
10164402,3
10164403,2
10164404,2
10164405,3
10164406,3
10164407,2
10164408,2
10164409,3
10164410,2
10164411,3
10164412,2
10164413,3
10164414,1
10164415,2
10164416,3
10164417,3
10164418,1
10164419,3
10164420,3
10164421,2
10164422,2
10164423,3
10164424,2
10164425,2
10164426,3
10164427,3
10164428,2
10164429,2
10164430,3
10164431,2
10164432,3
10164433,3
10164434,3
10164435,2
10164436,3
10164437,2
10164438,3
10164439,2
10164440,3
10164441,3
10164442,2
10164443,3
10164444,2
10164445,2
10164446,2
10164447,1
10164448,2
10164449,2
10164450,2
10164451,2
10164452,3
10164453,3
10164454,2
10164455,2
10164456,2
10164457,2
10164458,2
10164459,2
10164460,3
10164461,3
10164462,2
10164463,2
10164464,2
10164465,3
10164466,2
10164467,2
10164468,3
10164469,3
10164470,2
10164471,3
10164472,3
10164473,2
10164474,2
10164475,2
10164476,2
10164477,3
10164478,3
10164479,2
10164480,2
10164481,2
10164482,3
10164483,2
10164484,2
10164485,3
10164486,2
10164487,3
10164488,2
10164489,1
10164490,3
10164491,3
10164492,3
10164493,2
10164494,3
10164495,3
10164496,2
10164497,3
10164498,3
10164499,2
10164500,2
10164501,2
10164502,2
10164503,2
10164504,3
10164505,2
10164506,3
10164507,3
10164508,3
10164509,3
10164510,2
10164511,2
10164512,3
10164513,1
10164514,1
10164515,3
10164516,2
10164517,2
10164518,2
10164519,2
10164520,2
10164521,3
10164522,2
10164523,2
10164524,1
10164525,2
10164526,3
10164527,3
10164528,3
10164529,3
10164530,3
10164531,3
10164532,2
10164533,2
10164534,2
10164535,3
10164536,2
10164537,2
10164538,2
10164539,3
10164540,3
10164541,3
10164542,3
10164543,3
10164544,2
10164545,3
10164546,3
10164547,2
10164548,2
10164549,3
10164550,2
10164551,3
10164552,3
10164553,3
10164554,2
10164555,2
10164556,2
10164557,2
10164558,3
10164559,3
10164560,3
10164561,2
10164562,2
10164563,3
10164564,1
10164565,3
10164566,1
10164567,3
10164568,3
10164569,2
10164570,3
10164571,2
10164572,2
10164573,3
10164574,3
10164575,2
10164576,3
10164577,2
10164578,3
10164579,3
10164580,2
10164581,2
10164582,2
10164583,1
10164584,2
10164585,1
10164586,2
10164587,3
10164588,2
10164589,3
10164590,2
10164591,1
10164592,2
10164593,2
10164594,2
10164595,3
10164596,2
10164597,2
10164598,3
10164599,2
10164600,3
10164601,2
10164602,2
10164603,2
10164604,3
10164605,2
10164606,2
10164607,2
10164608,1
10164609,2
10164610,2
10164611,2
10164612,2
10164613,1
10164614,2
10164615,3
10164616,3
10164617,3
10164618,3
10164619,3
10164620,2
10164621,2
10164622,2
10164623,3
10164624,2
10164625,2
10164626,2
10164627,3
10164628,2
10164629,2
10164630,2
10164631,2
10164632,2
10164633,3
10164634,2
10164635,2
10164636,3
10164637,2
10164638,2
10164639,3
10164640,1
10164641,2
10164642,2
10164643,3
10164644,3
10164645,2
10164646,3
10164647,2
10164648,2
10164649,3
10164650,3
10164651,3
10164652,2
10164653,3
10164654,3
10164655,2
10164656,2
10164657,3
10164658,3
10164659,2
10164660,3
10164661,3
10164662,2
10164663,3
10164664,2
10164665,3
10164666,1
10164667,2
10164668,2
10164669,3
10164670,2
10164671,3
10164672,2
10164673,2
10164674,1
10164675,2
10164676,3
10164677,2
10164678,2
10164679,3
10164680,3
10164681,3
10164682,2
10164683,3
10164684,3
10164685,3
10164686,2
10164687,1
10164688,3
10164689,2
10164690,1
10164691,2
10164692,2
10164693,3
10164694,3
10164695,2
10164696,3
10164697,2
10164698,2
10164699,2
10164700,2
10164701,3
10164702,2
10164703,1
10164704,2
10164705,3
10164706,2
10164707,3
10164708,2
10164709,2
10164710,2
10164711,2
10164712,1
10164713,2
10164714,2
10164715,3
10164716,3
10164717,2
10164718,2
10164719,2
10164720,3
10164721,3
10164722,2
10164723,3
10164724,2
10164725,2
10164726,2
10164727,3
10164728,3
10164729,3
10164730,2
10164731,3
10164732,3
10164733,2
10164734,3
10164735,1
10164736,2
10164737,2
10164738,3
10164739,2
10164740,3
10164741,2
10164742,2
10164743,3
10164744,2
10164745,2
10164746,1
10164747,2
10164748,1
10164749,3
10164750,2
10164751,1
10164752,2
10164753,2
10164754,3
10164755,1
10164756,3
10164757,2
10164758,2
10164759,3
10164760,3
10164761,2
10164762,2
10164763,3
10164764,2
10164765,3
10164766,2
10164767,3
10164768,2
10164769,2
10164770,3
10164771,2
10164772,1
10164773,2
10164774,2
10164775,3
10164776,3
10164777,2
10164778,2
10164779,2
10164780,2
10164781,3
10164782,2
10164783,3
10164784,2
10164785,2
10164786,1
10164787,2
10164788,3
10164789,2
10164790,1
10164791,1
10164792,3
10164793,3
10164794,2
10164795,3
10164796,2
10164797,2
10164798,2
10164799,2
10164800,3
10164801,2
10164802,2
10164803,3
10164804,1
10164805,2
10164806,3
10164807,2
10164808,3
10164809,2
10164810,3
10164811,2
10164812,2
10164813,3
10164814,2
10164815,2
10164816,2
10164817,3
10164818,1
10164819,2
10164820,2
10164821,3
10164822,2
10164823,2
10164824,3
10164825,1
10164826,2
10164827,1
10164828,3
10164829,3
10164830,3
10164831,3
10164832,3
10164833,3
10164834,1
10164835,3
10164836,2
10164837,3
10164838,3
10164839,3
10164840,2
10164841,2
10164842,2
10164843,2
10164844,3
10164845,3
10164846,3
10164847,3
10164848,3
10164849,2
10164850,2
10164851,3
10164852,2
10164853,2
10164854,3
10164855,3
10164856,2
10164857,3
10164858,2
10164859,3
