pet_id,breed_category,pet_category
ANSL_75005,1,2
ANSL_76663,0,1
ANSL_58259,0,2
ANSL_67171,0,2
ANSL_72871,0,2
ANSL_64886,1,1
ANSL_73798,1,2
ANSL_53131,1,2
ANSL_66674,0,1
ANSL_55165,1,2
ANSL_74518,0,2
ANSL_72217,0,2
ANSL_55812,0,2
ANSL_55318,1,2
ANSL_65677,1,2
ANSL_74873,1,2
ANSL_56546,1,1
ANSL_76135,0,2
ANSL_64881,0,2
ANSL_73262,2,4
ANSL_69908,0,1
ANSL_76469,0,2
ANSL_65785,0,1
ANSL_74284,0,2
ANSL_58262,1,2
ANSL_75383,0,2
ANSL_61707,1,2
ANSL_74942,2,4
ANSL_69155,1,2
ANSL_66305,1,2
ANSL_72637,1,1
ANSL_55160,2,4
ANSL_73057,1,1
ANSL_68887,1,2
ANSL_74196,0,2
ANSL_56430,2,4
ANSL_66634,0,2
ANSL_67159,0,2
ANSL_62734,1,2
ANSL_70979,0,2
ANSL_61168,2,1
ANSL_58061,1,2
ANSL_55940,0,2
ANSL_76291,1,1
ANSL_69273,0,2
ANSL_70508,0,2
ANSL_51062,0,2
ANSL_57908,0,2
ANSL_52712,0,2
ANSL_70808,0,1
ANSL_75816,1,2
ANSL_63870,0,1
ANSL_53866,0,1
ANSL_75449,0,2
ANSL_76504,0,2
ANSL_71397,0,2
ANSL_67333,2,4
ANSL_59503,0,2
ANSL_74843,1,1
ANSL_72388,0,2
ANSL_56183,1,2
ANSL_61540,0,1
ANSL_76621,0,2
ANSL_68225,0,2
ANSL_68150,0,1
ANSL_69330,0,2
ANSL_60826,0,1
ANSL_71758,2,1
ANSL_72505,1,1
ANSL_61691,0,1
ANSL_65228,1,2
ANSL_64206,0,2
ANSL_73081,0,2
ANSL_56393,0,2
ANSL_68514,1,2
ANSL_57135,0,1
ANSL_56868,1,1
ANSL_62728,0,2
ANSL_69319,0,2
ANSL_53797,1,2
ANSL_74107,1,1
ANSL_72281,1,2
ANSL_61887,2,4
ANSL_63411,2,1
ANSL_68244,2,2
ANSL_54649,1,2
ANSL_67555,0,2
ANSL_62909,0,2
ANSL_71212,0,2
ANSL_63969,1,2
ANSL_63946,0,1
ANSL_66683,0,2
ANSL_64784,1,2
ANSL_61948,0,2
ANSL_69704,0,2
ANSL_73837,1,1
ANSL_63488,0,2
ANSL_52592,1,1
ANSL_64094,0,2
ANSL_53634,1,1
ANSL_73575,0,2
ANSL_53212,1,1
ANSL_56754,0,2
ANSL_65107,2,4
ANSL_60580,0,2
ANSL_59168,1,1
ANSL_51028,1,2
ANSL_53343,0,1
ANSL_60920,1,1
ANSL_61451,0,1
ANSL_59249,0,2
ANSL_75126,1,2
ANSL_51629,1,2
ANSL_65165,1,2
ANSL_76635,1,2
ANSL_59268,0,2
ANSL_55808,0,2
ANSL_74653,0,2
ANSL_60541,0,2
ANSL_73479,1,1
ANSL_56770,1,2
ANSL_71777,0,2
ANSL_55915,0,1
ANSL_69559,0,1
ANSL_69166,0,1
ANSL_51477,0,2
ANSL_69729,0,2
ANSL_59815,0,2
ANSL_74615,1,2
ANSL_75032,0,1
ANSL_54186,0,2
ANSL_56830,0,2
ANSL_53909,1,2
ANSL_72716,0,1
ANSL_70398,1,2
ANSL_69405,2,4
ANSL_57640,0,2
ANSL_70615,0,2
ANSL_53698,1,1
ANSL_57011,0,2
ANSL_63353,0,2
ANSL_55623,0,1
ANSL_60248,1,2
ANSL_51783,1,1
ANSL_75757,0,2
ANSL_66811,0,2
ANSL_51581,0,1
ANSL_65440,1,2
ANSL_67551,0,2
ANSL_57114,1,1
ANSL_72040,1,2
ANSL_53272,0,1
ANSL_59423,1,2
ANSL_62241,1,2
ANSL_71903,1,1
ANSL_62568,1,2
ANSL_57132,0,1
ANSL_57108,1,1
ANSL_66441,1,2
ANSL_60196,0,2
ANSL_72935,0,2
ANSL_71003,1,2
ANSL_60295,0,2
ANSL_76472,1,2
ANSL_69214,0,1
ANSL_59195,1,1
ANSL_64836,1,2
ANSL_66021,0,2
ANSL_69696,1,1
ANSL_69385,1,2
ANSL_72912,1,2
ANSL_63596,0,2
ANSL_69028,1,1
ANSL_72859,0,1
ANSL_51988,0,1
ANSL_64754,0,2
ANSL_66578,1,2
ANSL_76565,2,4
ANSL_55151,1,2
ANSL_57527,1,2
ANSL_62096,0,1
ANSL_58759,0,2
ANSL_68864,1,2
ANSL_73245,0,1
ANSL_73824,0,2
ANSL_73711,1,2
ANSL_64106,0,2
ANSL_56720,0,1
ANSL_66794,0,2
ANSL_66539,0,1
ANSL_71940,0,2
ANSL_51536,0,1
ANSL_56404,0,1
ANSL_62145,0,2
ANSL_61779,0,1
ANSL_63845,1,2
ANSL_59553,0,2
ANSL_68127,1,2
ANSL_64588,1,2
ANSL_68964,1,1
ANSL_70107,0,2
ANSL_76518,0,2
ANSL_67329,0,1
ANSL_70124,1,1
ANSL_70885,0,2
ANSL_68901,0,2
ANSL_53380,0,2
ANSL_54568,1,2
ANSL_57832,0,2
ANSL_52679,1,2
ANSL_68681,0,2
ANSL_72280,1,2
ANSL_74244,0,2
ANSL_61237,0,1
ANSL_64173,1,2
ANSL_66991,0,1
ANSL_72263,0,2
ANSL_72438,0,1
ANSL_55483,1,2
ANSL_51111,0,2
ANSL_70178,0,2
ANSL_63763,0,2
ANSL_71809,0,2
ANSL_72930,0,1
ANSL_67903,0,1
ANSL_59412,0,2
ANSL_73113,1,2
ANSL_50700,1,2
ANSL_58274,1,1
ANSL_74639,0,2
ANSL_69702,1,2
ANSL_63721,0,2
ANSL_69068,1,1
ANSL_54231,1,2
ANSL_59792,0,1
ANSL_53462,0,2
ANSL_72155,0,2
ANSL_54708,0,1
ANSL_63295,1,2
ANSL_67088,1,2
ANSL_59622,0,2
ANSL_69453,1,1
ANSL_68407,0,2
ANSL_72201,0,2
ANSL_63288,0,2
ANSL_53869,1,1
ANSL_53166,0,1
ANSL_66712,1,1
ANSL_68752,0,1
ANSL_58597,0,2
ANSL_68536,1,2
ANSL_66988,1,2
ANSL_73019,1,2
ANSL_51042,0,2
ANSL_72605,0,2
ANSL_50513,1,2
ANSL_74726,0,1
ANSL_71414,0,2
ANSL_62527,0,1
ANSL_52478,1,2
ANSL_61327,0,2
ANSL_51414,0,1
ANSL_69024,1,1
ANSL_76406,0,2
ANSL_74091,0,2
ANSL_69272,1,2
ANSL_73757,0,2
ANSL_66339,1,2
ANSL_55778,2,1
ANSL_50595,2,4
ANSL_56931,0,2
ANSL_51455,0,2
ANSL_70580,1,1
ANSL_74146,0,1
ANSL_60630,0,1
ANSL_58592,1,1
ANSL_52404,0,2
ANSL_62384,1,2
ANSL_65301,2,4
ANSL_51415,1,1
ANSL_75420,0,2
ANSL_71070,1,2
ANSL_53031,2,1
ANSL_66467,1,2
ANSL_56704,0,2
ANSL_74453,0,2
ANSL_63140,0,1
ANSL_64024,0,1
ANSL_64270,0,2
ANSL_54771,1,1
ANSL_74463,0,1
ANSL_58516,0,1
ANSL_66331,0,2
ANSL_66262,0,2
ANSL_51075,0,1
ANSL_62731,0,2
ANSL_54680,0,1
ANSL_53161,0,2
ANSL_74808,0,1
ANSL_52342,0,2
ANSL_76305,0,1
ANSL_58984,1,2
ANSL_76719,1,2
ANSL_56667,0,1
ANSL_64078,1,2
ANSL_67886,0,2
ANSL_66036,1,2
ANSL_73046,1,2
ANSL_59119,0,2
ANSL_53500,0,2
ANSL_72376,0,2
ANSL_60461,0,2
ANSL_63760,0,2
ANSL_64232,2,4
ANSL_53157,0,1
ANSL_68706,1,2
ANSL_72300,0,1
ANSL_54390,0,2
ANSL_62510,1,1
ANSL_74980,0,2
ANSL_63331,0,1
ANSL_61107,0,2
ANSL_67041,0,2
ANSL_54394,0,2
ANSL_65206,0,2
ANSL_67268,1,1
ANSL_68391,1,2
ANSL_71831,0,1
ANSL_60810,2,4
ANSL_51226,1,1
ANSL_63289,0,2
ANSL_56487,0,2
ANSL_63744,0,1
ANSL_74354,0,2
ANSL_51179,2,1
ANSL_71834,0,1
ANSL_58963,0,2
ANSL_74610,1,1
ANSL_51340,0,1
ANSL_76644,1,2
ANSL_60339,1,1
ANSL_60399,0,2
ANSL_50403,0,1
ANSL_64780,0,2
ANSL_66796,0,2
ANSL_74657,1,2
ANSL_65567,0,1
ANSL_70951,0,2
ANSL_56769,0,2
ANSL_71466,1,2
ANSL_61185,0,2
ANSL_62970,1,1
ANSL_69598,0,2
ANSL_65748,0,2
ANSL_52365,2,4
ANSL_67296,0,1
ANSL_55969,1,2
ANSL_61172,0,2
ANSL_74084,2,1
ANSL_69015,0,2
ANSL_51398,0,1
ANSL_52517,1,1
ANSL_64902,1,2
ANSL_54874,0,1
ANSL_64448,1,2
ANSL_74903,0,2
ANSL_65647,1,2
ANSL_60888,1,2
ANSL_71507,2,1
ANSL_56820,1,1
ANSL_61032,0,2
ANSL_61292,1,2
ANSL_52381,0,1
ANSL_51587,1,2
ANSL_75778,0,1
ANSL_75015,0,2
ANSL_50581,0,2
ANSL_56582,0,2
ANSL_72811,0,1
ANSL_69433,0,2
ANSL_75036,0,2
ANSL_59855,1,2
ANSL_50108,1,1
ANSL_62345,0,1
ANSL_71768,1,1
ANSL_66105,0,1
ANSL_70579,0,1
ANSL_61367,0,2
ANSL_56411,0,1
ANSL_53804,0,2
ANSL_56180,0,2
ANSL_71908,0,1
ANSL_62209,0,2
ANSL_64984,0,2
ANSL_51962,1,1
ANSL_65105,0,1
ANSL_50535,0,1
ANSL_75679,2,4
ANSL_68760,0,2
ANSL_75935,1,1
ANSL_55310,2,1
ANSL_73322,0,2
ANSL_54751,0,2
ANSL_56506,1,1
ANSL_54443,0,2
ANSL_70340,2,1
ANSL_66635,0,1
ANSL_57450,2,4
ANSL_75609,0,1
ANSL_67207,1,2
ANSL_54970,0,1
ANSL_51377,0,2
ANSL_57219,0,2
ANSL_68571,0,2
ANSL_66224,0,2
ANSL_58954,1,1
ANSL_54726,1,1
ANSL_75399,1,2
ANSL_73392,1,2
ANSL_63006,1,1
ANSL_50673,2,4
ANSL_66465,2,1
ANSL_68138,0,1
ANSL_75971,1,2
ANSL_68268,1,1
ANSL_62202,0,2
ANSL_66709,2,4
ANSL_67351,0,2
ANSL_71263,2,1
ANSL_69376,1,2
ANSL_52157,0,2
ANSL_61724,0,1
ANSL_71794,1,1
ANSL_62425,1,1
ANSL_69168,1,1
ANSL_69938,1,2
ANSL_57782,1,1
ANSL_65879,0,2
ANSL_76164,0,2
ANSL_75209,1,2
ANSL_54019,1,1
ANSL_69790,1,1
ANSL_55512,0,2
ANSL_53243,0,2
ANSL_72180,1,2
ANSL_64027,0,2
ANSL_56639,1,2
ANSL_67634,1,1
ANSL_59953,2,0
ANSL_62848,0,2
ANSL_73134,0,2
ANSL_75316,0,2
ANSL_73294,1,2
ANSL_76057,1,2
ANSL_69491,0,2
ANSL_53288,0,2
ANSL_66202,0,2
ANSL_75959,0,2
ANSL_68338,1,1
ANSL_74414,0,2
ANSL_66062,0,2
ANSL_66308,0,2
ANSL_61378,0,2
ANSL_56351,1,2
ANSL_59301,1,2
ANSL_59366,0,1
ANSL_59218,0,2
ANSL_53338,0,2
ANSL_69732,0,2
ANSL_72026,1,1
ANSL_56423,1,2
ANSL_54644,1,2
ANSL_64599,0,2
ANSL_56626,0,2
ANSL_58909,0,1
ANSL_74769,0,1
ANSL_76503,1,2
ANSL_54221,0,2
ANSL_56105,0,2
ANSL_59094,1,2
ANSL_69848,0,2
ANSL_58999,1,2
ANSL_75347,0,2
ANSL_60227,0,1
ANSL_69081,1,2
ANSL_51366,0,2
ANSL_50510,1,2
ANSL_75585,0,2
ANSL_60081,1,1
ANSL_69506,2,1
ANSL_57241,0,2
ANSL_63320,1,1
ANSL_51707,2,4
ANSL_76384,1,2
ANSL_56547,0,2
ANSL_50521,0,1
ANSL_52374,0,2
ANSL_59473,0,2
ANSL_61944,0,2
ANSL_73978,2,1
ANSL_63544,1,2
ANSL_59982,0,1
ANSL_52395,0,2
ANSL_53701,2,4
ANSL_56629,0,1
ANSL_64322,0,2
ANSL_61485,2,4
ANSL_54268,1,1
ANSL_61213,0,2
ANSL_53000,1,1
ANSL_60362,0,2
ANSL_61983,0,2
ANSL_67887,0,1
ANSL_66103,1,1
ANSL_62280,1,2
ANSL_60657,1,2
ANSL_56897,0,2
ANSL_71201,0,2
ANSL_61215,2,1
ANSL_54948,2,1
ANSL_75434,0,2
ANSL_56699,1,1
ANSL_75761,1,2
ANSL_69229,1,2
ANSL_66971,2,1
ANSL_61468,0,1
ANSL_53762,2,1
ANSL_71406,1,1
ANSL_69873,1,2
ANSL_62134,1,1
ANSL_52725,0,2
ANSL_71046,1,2
ANSL_74973,0,1
ANSL_66215,1,1
ANSL_52987,0,1
ANSL_64932,0,2
ANSL_73079,1,2
ANSL_59095,0,2
ANSL_50344,0,2
ANSL_63714,1,2
ANSL_65114,0,1
ANSL_73283,1,2
ANSL_74382,1,2
ANSL_63026,1,1
ANSL_57800,0,2
ANSL_56389,0,2
ANSL_67253,0,2
ANSL_54969,0,2
ANSL_71433,2,1
ANSL_73487,0,1
ANSL_54072,1,1
ANSL_54952,1,2
ANSL_52694,1,1
ANSL_69177,1,2
ANSL_54734,1,2
ANSL_57646,1,2
ANSL_67973,0,2
ANSL_71176,0,2
ANSL_58384,0,1
ANSL_55521,0,2
ANSL_64582,1,1
ANSL_64164,1,1
ANSL_75373,1,1
ANSL_69538,1,2
ANSL_75528,0,2
ANSL_70621,0,2
ANSL_58080,1,1
ANSL_58586,1,1
ANSL_68584,1,2
ANSL_52227,1,2
ANSL_68279,0,1
ANSL_51146,0,2
ANSL_50747,0,2
ANSL_71209,0,2
ANSL_55273,0,2
ANSL_67412,1,2
ANSL_59591,0,1
ANSL_50245,1,1
ANSL_52533,0,2
ANSL_75485,1,2
ANSL_58045,0,2
ANSL_75296,0,2
ANSL_74073,1,2
ANSL_56250,1,2
ANSL_67371,0,1
ANSL_56655,1,2
ANSL_72549,1,1
ANSL_64490,1,2
ANSL_70316,1,1
ANSL_69374,0,2
ANSL_67024,0,2
ANSL_52428,1,2
ANSL_63784,0,2
ANSL_53839,0,2
ANSL_73723,0,2
ANSL_67748,0,2
ANSL_54087,1,1
ANSL_62910,0,1
ANSL_75380,0,1
ANSL_67114,0,1
ANSL_67664,0,2
ANSL_73652,2,4
ANSL_59437,0,2
ANSL_55311,0,2
ANSL_72997,1,2
ANSL_74722,1,2
ANSL_52117,0,2
ANSL_64833,1,2
ANSL_67236,0,2
ANSL_51808,0,2
ANSL_70336,0,1
ANSL_61656,0,2
ANSL_72590,0,2
ANSL_75116,0,2
ANSL_67201,1,1
ANSL_53391,1,1
ANSL_66608,0,2
ANSL_56925,0,2
ANSL_64991,1,2
ANSL_59177,1,1
ANSL_65249,2,4
ANSL_54128,0,2
ANSL_59406,0,2
ANSL_52054,1,2
ANSL_50531,1,2
ANSL_55972,1,2
ANSL_69356,0,1
ANSL_52946,0,2
