wind_speed,wind_direction,dew_point,temperature,clouds_all,air_pollution_index,year,day,month,dayofweek,hour
2,329,1,15.13,40,121,2012,2,10,1,9
3,330,1,16.21,75,178,2012,2,10,1,10
3,329,2,16.43,90,113,2012,2,10,1,11
3,329,5,16.98,90,20,2012,2,10,1,12
3,329,7,17.99,75,281,2012,2,10,1,13
3,328,6,18.57,1,23,2012,2,10,1,14
3,328,7,20.02,1,184,2012,2,10,1,15
3,327,7,20.71,1,167,2012,2,10,1,16
3,327,6,20.99,20,119,2012,2,10,1,17
3,326,3,19.95,20,161,2012,2,10,1,18
3,326,8,17.82,20,243,2012,2,10,1,19
3,326,5,16.23,1,150,2012,2,10,1,20
4,325,4,15.46,1,128,2012,2,10,1,21
4,325,7,14.01,1,18,2012,2,10,1,22
4,324,5,12.3,1,186,2012,2,10,1,23
4,324,2,11.48,1,58,2012,3,10,2,0
4,324,6,10.32,1,158,2012,3,10,2,1
4,323,1,8.03,1,166,2012,3,10,2,2
4,323,7,7.94,1,101,2012,3,10,2,3
4,322,4,6.38,1,161,2012,3,10,2,4
4,322,3,5.47,1,179,2012,3,10,2,5
4,322,4,5.08,1,93,2012,3,10,2,6
4,321,4,4.97,1,57,2012,3,10,2,8
4,321,4,9.33,1,226,2012,3,10,2,9
4,320,3,18.82,1,86,2012,3,10,2,12
4,320,1,20.08,1,52,2012,3,10,2,13
4,320,4,21.16,1,273,2012,3,10,2,14
5,350,3,22.02,1,72,2012,3,10,2,15
4,320,1,21.98,1,254,2012,3,10,2,16
5,330,4,20.51,20,129,2012,3,10,2,18
7,330,1,17.5,20,271,2012,3,10,2,19
6,320,1,15.04,20,259,2012,3,10,2,20
5,340,8,13.95,1,61,2012,3,10,2,21
5,340,4,13.1,1,286,2012,3,10,2,22
3,340,9,12.11,1,151,2012,3,10,2,23
5,350,8,11.4,1,260,2012,4,10,3,0
5,350,5,10.32,1,234,2012,4,10,3,1
4,330,5,10.02,1,162,2012,4,10,3,2
6,340,1,8.89,1,65,2012,4,10,3,3
5,340,1,8.54,1,18,2012,4,10,3,4
5,350,4,8.17,1,250,2012,4,10,3,5
4,340,4,7.59,1,173,2012,4,10,3,6
4,350,2,7.42,1,142,2012,4,10,3,7
4,360,5,8.71,1,90,2012,4,10,3,8
0,0,6,11.83,1,144,2012,4,10,3,9
0,0,8,16.03,1,143,2012,4,10,3,10
1,320,1,18.4,1,61,2012,4,10,3,11
0,0,4,21.82,1,211,2012,4,10,3,12
0,0,6,23.23,1,207,2012,4,10,3,13
0,0,7,24.17,1,115,2012,4,10,3,14
0,0,2,25.02,1,253,2012,4,10,3,15
1,63,5,24.91,20,242,2012,4,10,3,16
2,126,5,24.52,20,23,2012,4,10,3,17
3,190,5,23.21,40,234,2012,4,10,3,18
3,170,6,20.7,40,220,2012,4,10,3,19
3,190,5,19.28,40,210,2012,4,10,3,20
2,0,7,18.62,75,174,2012,4,10,3,21
4,140,4,18.21,75,58,2012,4,10,3,22
3,170,1,17.97,75,142,2012,4,10,3,23
3,200,6,17.48,75,79,2012,5,10,4,0
3,180,9,17.31,40,128,2012,5,10,4,1
2,150,4,16.11,0,148,2012,5,10,4,3
2,140,7,10.06,75,252,2012,5,10,4,5
3,140,3,9.09,90,190,2012,5,10,4,6
2,160,9,8.54,90,192,2012,5,10,4,7
2,160,9,7.42,90,59,2012,5,10,4,8
2,130,6,6.87,75,190,2012,5,10,4,9
0,0,5,6.96,75,134,2012,5,10,4,10
2,110,8,6.85,90,240,2012,5,10,4,11
2,150,9,7.38,90,12,2012,5,10,4,12
3,110,5,8.28,75,182,2012,5,10,4,13
1,110,5,8.63,90,90,2012,5,10,4,14
2,110,3,8.76,90,284,2012,5,10,4,15
2,120,2,8.58,90,228,2012,5,10,4,16
1,110,9,8.27,90,149,2012,5,10,4,17
0,0,8,7.72,90,72,2012,5,10,4,18
2,160,2,7,90,36,2012,5,10,4,19
2,0,6,6.63,90,205,2012,5,10,4,20
4,160,9,6.5,75,161,2012,5,10,4,21
4,180,4,6.07,40,261,2012,5,10,4,22
4,160,4,5.91,40,257,2012,5,10,4,23
5,150,6,5.66,90,163,2012,6,10,5,0
5,160,4,5.4,90,219,2012,6,10,5,1
4,150,7,5.44,90,31,2012,6,10,5,2
2,140,9,3.84,75,79,2012,6,10,5,4
3,130,7,3.2,20,28,2012,6,10,5,5
3,130,1,2.25,1,110,2012,6,10,5,6
3,140,9,2.02,1,171,2012,6,10,5,7
5,140,3,1.84,1,148,2012,6,10,5,8
5,140,2,1.94,40,97,2012,6,10,5,9
5,140,2,3.73,20,46,2012,6,10,5,10
2,194,7,4.89,20,180,2012,6,10,5,11
0,248,6,5.93,40,269,2012,6,10,5,12
4,239,6,6.97,75,280,2012,6,10,5,13
9,230,7,7.1,75,264,2012,6,10,5,14
5,240,5,6.85,75,149,2012,6,10,5,15
9,240,5,5.91,90,77,2012,6,10,5,16
8,250,1,5.76,90,77,2012,6,10,5,17
7,250,1,5.24,90,178,2012,6,10,5,18
9,250,8,5.01,90,114,2012,6,10,5,19
9,260,2,5.01,90,67,2012,6,10,5,20
8,250,1,4.78,90,196,2012,6,10,5,21
10,270,5,3.75,90,65,2012,6,10,5,22
12,260,5,3.19,75,13,2012,6,10,5,23
10,260,2,2.96,75,294,2012,7,10,6,0
12,270,6,2.58,90,26,2012,7,10,6,3
8,260,7,2.5,90,246,2012,7,10,6,4
7,270,4,2.36,75,259,2012,7,10,6,5
8,280,9,1.9,90,33,2012,7,10,6,6
8,290,3,1.62,90,125,2012,7,10,6,7
5,280,9,1.62,75,247,2012,7,10,6,8
7,290,7,2.4,75,178,2012,7,10,6,9
8,280,7,3.09,75,297,2012,7,10,6,10
7,290,1,3.86,90,250,2012,7,10,6,11
9,270,5,4.28,90,299,2012,7,10,6,12
8,270,5,5.3,90,260,2012,7,10,6,13
8,275,8,6.12,90,174,2012,7,10,6,14
9,280,1,6.12,90,150,2012,7,10,6,15
7,280,7,6.29,90,129,2012,7,10,6,16
6,270,5,6.17,90,170,2012,7,10,6,17
5,260,4,6.12,90,114,2012,7,10,6,18
4,260,1,4.96,90,101,2012,7,10,6,19
5,250,2,3.64,75,213,2012,7,10,6,20
7,280,4,2.58,90,49,2012,7,10,6,21
8,260,5,1.73,75,63,2012,7,10,6,22
8,290,9,0.77,20,98,2012,7,10,6,23
9,300,5,-0.07,20,144,2012,8,10,0,0
7,290,6,-0.53,20,11,2012,8,10,0,1
8,280,7,-1.37,1,106,2012,8,10,0,2
10,310,8,-2.1,1,65,2012,8,10,0,3
7,300,6,-2.52,1,133,2012,8,10,0,4
8,290,2,-2.82,1,194,2012,8,10,0,5
6,290,6,-3.54,20,134,2012,8,10,0,6
8,280,9,-3.14,20,273,2012,8,10,0,7
7,300,4,-1.92,20,200,2012,8,10,0,8
8,310,6,0.56,20,224,2012,8,10,0,9
6,300,4,3.62,20,230,2012,8,10,0,10
5,300,7,6.32,20,208,2012,8,10,0,11
5,300,1,6.69,1,183,2012,8,10,0,12
5,300,1,9.19,40,226,2012,8,10,0,13
5,300,9,9.79,40,215,2012,8,10,0,14
7,310,1,10.33,1,76,2012,8,10,0,15
5,320,5,11.18,1,183,2012,8,10,0,16
6,330,9,11.33,40,87,2012,8,10,0,17
4,320,1,11.08,40,51,2012,8,10,0,18
4,330,8,8.84,20,73,2012,8,10,0,19
5,330,6,6.66,1,208,2012,8,10,0,20
4,340,5,6.2,1,99,2012,8,10,0,21
6,340,5,5.75,1,16,2012,8,10,0,22
