Allied_Nations,Diplomatic_Meetings_Set,Percent_Of_Forces_Mobilized,Hostile_Nations,Active_Threats,Inactive_Threats,Citizen_Fear_Index,Closest_Threat_Distance(km),Aircraft_Carriers_Responding,Troops_Mobilized(thousands),DEFCON_Level,ID
16,1,0.67,3,6,25,0.787812041,324.36,1,862400,C,7570
8,1,0.11,2,38,48,0.419236417,359.34,0,959200,D,12128
9,1,0.49,3,32,69,0.582232012,332.84,1,836000,C,2181
7,0,0.3,2,31,52,0.589574156,358.28,1,924000,C,5946
8,1,0.12,5,13,42,0.552863436,364.64,0,968000,B,9054
6,1,0.1,2,4,11,0.508810573,387.96,1,880000,B,10947
7,1,0.08,2,42,52,0.357562408,349.8,1,1038400,D,4717
8,1,0.1,2,34,45,0.378120411,348.74,1,1038400,D,8008
10,0,0.65,7,18,39,0.656387665,333.9,1,959200,B,8179
8,0,0.29,3,18,58,0.618942731,349.8,1,800800,B,6324
7,0,0.3,2,35,53,0.430983847,342.38,1,844800,B,3789
10,1,0.22,2,8,28,0.662995595,334.96,1,888800,B,8946
10,0,0.73,6,6,17,0.508810573,334.96,1,994400,D,3629
6,0,0,2,27,60,0.42804699,365.7,1,968000,C,2451
7,1,0.31,4,51,140,0.429515419,347.68,1,1038400,D,4028
8,1,0.08,3,15,63,0.552863436,354.04,1,836000,B,10493
8,1,0,1,6,13,0.412628488,358.28,0,836000,A,20
6,1,0,2,5,27,0.398678414,378.42,0,950400,B,2064
7,1,0,2,4,8,0.457415565,355.1,1,959200,A,2765
13,0,0.49,6,10,24,0.831864905,325.42,1,1056000,C,2938
7,1,0.12,2,4,7,0.457415565,344.5,1,871200,B,10309
8,1,0.01,2,5,11,0.36784141,358.28,1,1012000,C,3918
8,1,0,1,8,20,0.464757709,358.28,1,853600,B,4830
7,1,0.03,2,14,31,0.395007342,354.04,1,809600,C,6630
10,0,0.58,3,5,10,0.52349486,333.9,1,844800,B,11434
8,1,0.13,2,11,31,0.464757709,345.56,1,959200,B,10987
10,0,0.35,2,10,28,0.529368576,341.32,1,906400,B,8830
6,1,0.09,2,4,13,0.317914831,393.26,1,959200,B,2237
8,0,0.15,6,16,108,0.567547724,346.62,0,827200,C,4196
