"Severity","Safety_Score","Days_Since_Inspection","Total_Safety_Complaints","Control_Metric","Turbulence_In_gforces","Cabin_Temperature","Accident_Type_Code","Max_Elevation","Violations","Adverse_Weather_Metric","Accident_ID"
"Minor_Damage_And_Injuries",49.2237442922374,14,22,71.285323609845,0.272117562206996,78.04,2,31335.4768243775,3,0.424352083307853,7570
"Minor_Damage_And_Injuries",62.4657534246575,10,27,72.2880583409298,0.423938694554634,84.54,2,26024.7110570854,2,0.352349972573073,12128
"Significant_Damage_And_Fatalities",63.0593607305936,13,16,66.362807657247,0.322604399567255,78.86,7,39269.0539266116,3,0.00336390699429747,2181
"Significant_Damage_And_Serious_Injuries",48.0821917808219,11,9,74.7037374658159,0.337029210241615,81.79,3,42771.4992003673,1,0.211728167404242,5946
"Significant_Damage_And_Fatalities",26.4840182648402,13,25,47.9489516864175,0.541140281283808,77.16,3,35509.2285154196,2,0.176883368384811,9054
"Minor_Damage_And_Injuries",43.3333333333333,15,0,73.3363719234275,0.432954201226109,78.63,2,29288.4481049155,1,0.394504816380126,10947
"Highly_Fatal_And_Damaging",22.0091324200913,15,10,62.8532360984503,0.314670753696357,88.04,4,32342.1093451256,0,0.0588715558622953,4717
"Minor_Damage_And_Injuries",24.703196347032,18,4,60.8021877848678,0.548352686620988,83.48,4,22547.1952415476,2,0.0404193589227867,8008
"Highly_Fatal_And_Damaging",54.8401826484018,5,40,69.2342752962625,0.335586729174179,78.24,2,45751.9834127951,0,0.619185763380743,8179
"Significant_Damage_And_Serious_Injuries",52.2374429223744,6,4,57.4293527803099,0.465410025243419,79.56,1,37933.3990008527,1,1.38929549655495,6324
"Highly_Fatal_And_Damaging",36.6666666666667,11,11,80.2187784867822,0.452788315903353,81.15,2,31463.5685651779,2,0.424911513212429,3789
"Significant_Damage_And_Serious_Injuries",48.1278538812785,11,2,62.8076572470374,0.329095564370718,77.8,3,22570.0303979771,4,0.111873408309966,8946
"Significant_Damage_And_Serious_Injuries",42.8767123287671,12,14,68.9608021877849,0.159604038946989,77.23,3,44697.8687399317,3,0.222510112024628,3629
"Significant_Damage_And_Fatalities",63.6529680365297,13,4,78.669097538742,0.232088712585647,80.78,7,30882.7263765865,3,0.00256728363044899,2451
"Highly_Fatal_And_Damaging",26.027397260274,14,2,83.5460346399271,0.362993869455463,81.63,3,18915.5090248707,2,0.0958059182791733,4028
"Highly_Fatal_And_Damaging",49.5890410958904,7,1,85.5515041020967,0.270314460872701,78.86,3,25083.6579094431,2,0.123761057564859,10493
"Highly_Fatal_And_Damaging",10.8675799086758,18,1,68.003646308113,0.309622069960331,82.08,6,47893.7179720062,3,0.0112415293720467,20
"Significant_Damage_And_Fatalities",38.7671232876712,10,4,37.8304466727438,0.600282005048683,80.82,4,35910.2004117809,1,0.0665145741903083,2064
"Significant_Damage_And_Fatalities",78.2191780821918,8,3,61.485870556062,0.338111071042192,82.2,2,34354.1112213822,2,0.462514456126825,2765
"Significant_Damage_And_Fatalities",20.2283105022831,15,2,41.5679124886053,0.687191489361702,78.37,2,11503.3885608342,1,0.159784287849187,2938
"Minor_Damage_And_Injuries",52.4657534246575,13,0,73.2452142206017,0.221991345113595,81.62,2,39835.7183100935,1,0.538862339469786,10309
"Minor_Damage_And_Injuries",38.4474885844749,17,5,74.9316317228806,0.326571222502704,79.31,2,37435.5727950293,2,0.50848625905791,3918
"Highly_Fatal_And_Damaging",44.8401826484018,8,2,80.5834092980857,0.249759105661738,78.21,4,45783.5276614128,0,0.0839917945185517,4830
"Minor_Damage_And_Injuries",43.8812785388128,15,1,68.003646308113,0.338471691309052,78.97,1,45541.2367525593,2,1.66486418964678,6630
"Significant_Damage_And_Fatalities",25.296803652968,14,5,47.2652689152234,0.594872701045799,76.19,5,49288.6355066503,3,0.0324373855024073,11434
"Significant_Damage_And_Fatalities",61.8264840182648,13,7,66.1349134001823,0.423217454020916,78.07,6,42607.0710974919,1,0.0106066637907699,10987
"Significant_Damage_And_Fatalities",59.2694063926941,14,3,61.6226071103008,0.331980526505589,90.87,7,32342.3133839545,3,0.00302207857730641,8830
"Highly_Fatal_And_Damaging",24.337899543379,14,0,70.7839562443026,0.267790119004688,76.75,4,26538.322262979,1,0.0486259930836168,2237
"Significant_Damage_And_Fatalities",55.0228310502283,15,9,70.3281677301732,0.512290659935088,77.03,7,28451.0147010119,0,0.00291565708772621,4196
"Highly_Fatal_And_Damaging",65.7534246575342,5,20,48.1312670920693,0.638147133068878,79.75,3,39150.6721955048,1,0.194869629413201,4755
"Minor_Damage_And_Injuries",68.7671232876712,8,2,74.6581586144029,0.334504868373603,78.78,5,15868.4439388883,2,0.0107749305075961,5438
"Minor_Damage_And_Injuries",32.648401826484,15,1,48.6326344576117,0.431151099891814,78.29,4,35960.9764022568,2,0.0657328863038229,6012
"Highly_Fatal_And_Damaging",48.3561643835616,7,2,76.7547857793984,0.293033537684818,77.27,4,41509.545282458,3,0.0758299007487241,8779
"Highly_Fatal_And_Damaging",53.9269406392694,12,5,44.7128532360985,0.571071763433105,78.7,5,28579.1660477413,1,0.0181978246117614,9273
"Significant_Damage_And_Serious_Injuries",54.7488584474886,9,28,60.6198723792161,0.527436711143166,79.42,7,52249.6101461372,3,0.00460286344892508,9173
"Significant_Damage_And_Fatalities",14.5205479452055,17,3,55.6061987237922,0.309982690227191,77.18,2,31365.239571318,3,0.424482358116853,6809
"Significant_Damage_And_Fatalities",40.8219178082192,9,7,41.02096627165,0.543304002884962,76.8,1,45255.7007356902,2,1.70002688793202,7462
"Significant_Damage_And_Serious_Injuries",43.6529680365297,12,2,59.6627164995442,0.422135593220339,81.86,6,37571.9051001859,0,0.00964423065045325,382
"Minor_Damage_And_Injuries",75.9817351598173,6,12,67.8669097538742,0.352535881716553,81.26,2,28213.4276195929,4,0.382453188083348,5152
