Review Text,Review Title,topic
"Did nothing for me, didn't help lost even with working out and eating healthy. Didn't curb appetite or anything.",Useless,Shipment and delivery
"Did nothing for me, didn't help lost even with working out and eating healthy. Didn't curb appetite or anything.",Useless,Not Effective
I have bought these bags and  immediately open one put in some trash and the bag was split down the side. So I opened another bag to cover the split bag and it also split down the side(x3).Don’t buy these you will end up throwing your box away,TRASH!!! Do not buy these bags it’s a waist of time!!!,Customer Service
Gave me an allergic reaction on my face :(,Do not recommend,Allergic
"These don't compare to the name brand wipes. Family of 5 little kids, we use a lot of wipes. These don't cut through sticky messes and they're small and very thin. Might be ok for wiping down less often used places but not good at tackling actual messes. I also didn't care for the lemon scent, felt it was too strong.",Can't tackle big messes,Texture
"These don't compare to the name brand wipes. Family of 5 little kids, we use a lot of wipes. These don't cut through sticky messes and they're small and very thin. Might be ok for wiping down less often used places but not good at tackling actual messes. I also didn't care for the lemon scent, felt it was too strong.",Can't tackle big messes,Quality/Contaminated
"These don't compare to the name brand wipes. Family of 5 little kids, we use a lot of wipes. These don't cut through sticky messes and they're small and very thin. Might be ok for wiping down less often used places but not good at tackling actual messes. I also didn't care for the lemon scent, felt it was too strong.",Can't tackle big messes,Color and texture
No good,Tastes horrible,Bad Taste/Flavor
These are EXTREMELY hard to swallow. The pills are huge and the sides are sharp. I seriously feel like i can choke on them. I don’t know about their effects and honestly don’t care because it’s not worth the pain and danger.,CHOKING HAZARD,Too big to swallow
"First of all the style I am leaving a review for is: Solimo incontinent Maximum Absorbency Long Length individually wrapped.<br />I had always used a name brand but still had to search for something better.<br />When I first ordered these, I must say I was very pleasantly surprised.<br />For my daytime use, these worked great.<br />They were very soft, long but not to long. Wide enough but not to wide.<br />And they worked for those gushes. Well for myself, I really liked them.<br />They stuck well, but not to much.<br />And then they changed the outside wrapper.<br />They used to be individually wrapped inwhich you would take off the outside wrap and then peel off the paper strip and then attach.<br />But now what they have done is they have attached the paper strip to the outer wrap covering. So now when you unwrap it, the paper strip that covers the sticky stuff comes off all at the same time. Bad move!! Picture this, you go into the bathroom to change your pad. You take the new pad and go to take the outside wrap off but now the strip that covers the sticky part comes off as well. Now you have to somehow hold that new pad while taking off the old pad and wanting to use the outside wrap to wrap the old pad up but oops, now the new pad falls to the floor because you now have to hold on to everything at the same time. I used to be able to at least recycle the paper strip but you can't anymore because the outer wrap and the paper strip are attached. Why can't they just leave things the way they were? Now I'm stuck with yet another product that is crappy. I'm just not happy about the ""new"" changes. Please bring back the old style!!!",Bring back the old style!!,Quality/Contaminated
"First of all the style I am leaving a review for is: Solimo incontinent Maximum Absorbency Long Length individually wrapped.<br />I had always used a name brand but still had to search for something better.<br />When I first ordered these, I must say I was very pleasantly surprised.<br />For my daytime use, these worked great.<br />They were very soft, long but not to long. Wide enough but not to wide.<br />And they worked for those gushes. Well for myself, I really liked them.<br />They stuck well, but not to much.<br />And then they changed the outside wrapper.<br />They used to be individually wrapped inwhich you would take off the outside wrap and then peel off the paper strip and then attach.<br />But now what they have done is they have attached the paper strip to the outer wrap covering. So now when you unwrap it, the paper strip that covers the sticky stuff comes off all at the same time. Bad move!! Picture this, you go into the bathroom to change your pad. You take the new pad and go to take the outside wrap off but now the strip that covers the sticky part comes off as well. Now you have to somehow hold that new pad while taking off the old pad and wanting to use the outside wrap to wrap the old pad up but oops, now the new pad falls to the floor because you now have to hold on to everything at the same time. I used to be able to at least recycle the paper strip but you can't anymore because the outer wrap and the paper strip are attached. Why can't they just leave things the way they were? Now I'm stuck with yet another product that is crappy. I'm just not happy about the ""new"" changes. Please bring back the old style!!!",Bring back the old style!!,Texture
