Filename,Extracted Values
X8XUG1JD,
X8XX000W,
X8XX00J6,
X8XX00LL,
X8XX00MX,
X8XX00YW,
X8XX0137,"{'Called up share capital not paid': '100', 'Net assets': '100', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8XX0196,
X8XX01EH,
X8XX01EP,
X8XX01IX,
X8XX01SZ,
X8XX01TN,
X8XX01TV,
X8XX02AX,
X8XX02N7,
X8XX02SY,
X8XX036G,
X8XX03IJ,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8XX03S9,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', 'Total Shareholder funds': '100'}"
X8XX07H7,
X8XX0ANN,
X8XX0BU1,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8XX0C57,
X8XX0CEA,
X8XZI954,
X8XZI9MH,
X8XZI9Y0,
X8XZIB3U,
X8XZIBDK,
X8XZIBOZ,
X8XZIBXE,
X8XZIBZD,
X8XZICIB,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', 'Total Shareholder funds': '100'}"
X8XZICNE,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8XZICQX,
X8XZIDG2,
X8XZIDMH,
X8XZIE17,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8XZIEI1,
X8XZIF16,
X8XZIFE8,
X8XZIFNV,
X8XZIFZL,
X8XZIG2X,
X8XZIGW8,
X8XZIIRN,
X8XZIIW2,
X8XZIIYQ,
X8XZIJC8,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8XZIKDF,
X8XZIKJ6,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8XZIKOX,
X8XZIMDT,
X8XZIMKG,
X8XZIML4,
X8XZIMQ3,"{'Net assets': '1', '1 Ordinary Share 1 of Â£ each': '1', 'Total Shareholder funds': '1'}"
X8XZIN35,
X8XZINN6,
X8XZINW9,
X8XZIO5G,
X8XZIOFU,
X8XZIOKY,
X8XZIOV4,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8XZIOXK,
X8XZIP1V,
X8XZIPBM,
X8XZIPGP,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8XZIPWZ,
X8XZIQ16,
X8XZIQEG,
X8XZIR1E,
X8XZIR3U,
X8XZIR7V,
X8XZIRI8,
X8XZIS17,
X8XZIS4B,
X8XZIS7K,
X8XZISVF,
X8XZIT2O,
X8XZITQ8,
X8XZIUTL,
X8XZIV4B,
X8XZIVMX,"{'Called up share capital not paid': '100', 'Net assets': '100', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8XZIW68,"{'Called up share capital not paid': '100', 'Net assets': '100', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8XZIWEH,
X8XZIWI2,
X8Y26BQO,"{'Called up share capital not paid': '100', 'Net assets': '100', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y26QBM,
X8Y28615,
X8Y2878B,
X8Y287W0,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', 'Total Shareholder funds': '100'}"
X8Y289DK,
X8Y28A2W,
X8Y28AFV,
X8Y28AR5,
X8Y28AVS,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', '1 Ordinary Share 1 of Â£ each': '1', 'Total Shareholder funds': '1'}"
X8Y28BDM,
X8Y28C76,
X8Y28CDT,
X8Y28DCG,
X8Y28DNU,
X8Y28E20,
X8Y28E28,
X8Y28E4O,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y28E9V,
X8Y28EQP,
X8Y28GDT,
X8Y28GK0,
X8Y28GVE,
X8Y28HC0,
X8Y28HHV,
X8Y28HNM,
X8Y28HSH,
X8Y28IC3,
X8Y28ICZ,
X8Y28IWG,
X8Y28IYR,
X8Y28J3N,
X8Y28JG1,
X8Y28JLK,
X8Y28KH4,
X8Y28KR6,
X8Y28KZ5,
X8Y28LEJ,
X8Y28LXS,"{'Called up share capital not paid': '100', 'Net assets': '100', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y28M57,
X8Y28MBM,
X8Y28MDM,
X8Y28MNT,"{'Called up share capital not paid': '100', 'Net assets': '100', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y28MOH,
X8Y28NCP,
X8Y28NOG,
X8Y28OE8,
X8Y28OLN,
X8Y2EPBT,
X8Y2EPNN,
X8Y2EPVK,
X8Y2ER1U,"{'Called up share capital not paid': '100', 'Net assets': '100', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y2ESHT,
X8Y2ESJM,
X8Y2ESK2,
X8Y2ETEY,
X8Y2ETP7,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8Y2EUWP,
X8Y2EY7M,"{'Called up share capital not paid': '100', 'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan'}"
X8Y2EYGW,
X8Y2EYNK,"{'Called up share capital not paid': '100', 'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan'}"
X8Y2EZ9S,
X8Y2EZF0,
X8Y2EZHT,
X8Y2F0HE,
X8Y2F0L6,"{'Called up share capital not paid': '100', 'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan'}"
X8Y2F14H,
X8Y2F337,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y2F34B,
X8Y2F3JL,
X8Y2F3V7,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8Y2F4BD,
X8Y2F4HM,
X8Y2F4YW,
X8Y4QL1E,
X8Y4QNJE,
X8Y4QNO9,
X8Y4QNPL,
X8Y4QNRD,
X8Y4QO1V,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', '1 Ordinary Share 1 of Â£ each': '1', 'Total Shareholder funds': '1'}"
X8Y4QO6V,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4QORK,
X8Y4QP5M,
X8Y4QPFS,
X8Y4QRBV,
X8Y4QSJK,
X8Y4QSMO,
X8Y4QSOG,
X8Y4QT61,
X8Y4QUNU,
X8Y4QUTD,
X8Y4QVGI,
X8Y4QVOX,
X8Y4QVUG,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', '1 Ordinary Share 1 of Â£ each': '1', 'Total Shareholder funds': '1'}"
X8Y4QW2Z,
X8Y4QWEH,
X8Y4QWQB,
X8Y4QX4H,
X8Y4QXRM,
X8Y4QXYP,
X8Y4QZ0O,
X8Y4QZEX,
X8Y4QZFL,
X8Y4R014,
X8Y4R0K3,
X8Y4R1VE,
X8Y4R1X6,
X8Y4R2E0,
X8Y4R2LT,
X8Y4R2OQ,
X8Y4R2T6,
X8Y4R2TV,
X8Y4R4EZ,
X8Y4R4QG,
X8Y4R5PL,
X8Y4R66O,
X8Y4R7EY,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4R7MZ,"{'Called up share capital not paid': '100', 'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan'}"
X8Y4R88A,
X8Y4R8QG,
X8Y4R8UH,
X8Y4R942,
X8Y4RB69,
