INCIDENT_ID,MULTIPLE_OFFENSE
CR_195453,1
CR_103520,1
CR_196089,1
CR_112195,1
CR_149832,1
CR_81654,1
CR_139009,1
CR_6108,1
CR_62283,1
CR_5710,1
CR_188972,1
CR_74490,1
CR_21774,1
CR_82685,1
CR_188343,1
CR_104212,1
CR_49142,1
CR_7923,1
CR_106361,0
CR_153593,1
CR_70128,1
CR_177912,1
CR_119901,1
CR_35246,1
CR_149719,1
CR_99068,1
CR_137684,1
CR_151347,1
CR_59238,1
CR_78703,1
CR_14980,1
CR_159224,1
CR_116795,1
CR_169853,1
CR_77607,1
CR_72161,1
CR_7589,1
CR_73678,1
CR_48947,1
CR_38884,1
CR_132634,0
CR_20524,1
CR_129183,1
CR_127437,1
CR_179077,1
CR_141431,1
CR_135001,1
CR_108962,1
CR_114858,1
CR_179765,1
CR_110903,1
CR_2596,1
CR_193843,1
CR_107764,1
CR_106761,1
CR_156146,1
CR_25741,1
CR_19406,1
CR_52821,1
CR_141663,1
CR_84643,1
CR_9998,1
CR_15173,1
CR_150569,1
CR_44321,1
CR_12480,1
CR_49884,1
CR_16536,1
CR_135867,1
CR_16960,1
CR_94521,1
CR_47185,0
CR_64477,1
CR_9255,1
CR_239,1
CR_36246,1
CR_167882,1
CR_122832,1
CR_107228,1
CR_191070,1
CR_111200,1
CR_138988,1
CR_76254,1
CR_49626,1
CR_136496,1
CR_74857,1
CR_25788,1
CR_96972,1
CR_128167,1
CR_125194,1
CR_196935,1
CR_99124,1
CR_47713,1
CR_17468,1
CR_52768,1
CR_174153,1
CR_181473,1
CR_170055,1
CR_70646,1
CR_139733,0
CR_68496,1
CR_133719,1
CR_149802,1
CR_129628,1
CR_21702,1
CR_184395,0
CR_112847,1
CR_22950,1
CR_4640,1
CR_91832,1
CR_69086,0
CR_90314,1
CR_102226,0
CR_44421,1
CR_91539,0
CR_125712,1
CR_39129,1
CR_166473,1
CR_146268,1
CR_198777,1
CR_19913,1
CR_95693,1
CR_58748,1
CR_120175,1
CR_47383,1
CR_88778,0
CR_45122,1
CR_118555,1
CR_47590,1
CR_56241,1
CR_49686,1
CR_158363,1
CR_49055,1
CR_78381,1
CR_46364,1
CR_89127,1
CR_95911,1
CR_30684,1
CR_110272,0
CR_152101,1
CR_101301,1
CR_10824,1
CR_81174,0
CR_77056,1
CR_104657,1
CR_190935,1
CR_39743,1
CR_97082,1
CR_165452,1
CR_27138,1
CR_44846,1
CR_66139,1
CR_5245,1
CR_58451,1
CR_44466,1
CR_95959,1
CR_40668,1
CR_106009,1
CR_162976,1
CR_39335,1
CR_130604,1
CR_41350,1
CR_90100,1
CR_17889,1
CR_79035,1
CR_43740,1
CR_125043,1
CR_114036,1
CR_18004,1
CR_40538,1
CR_30715,1
CR_53954,1
CR_134044,1
CR_63130,1
CR_195514,1
CR_28019,1
CR_31473,1
CR_114806,1
CR_156949,1
CR_135875,1
CR_96923,1
CR_46274,1
CR_136824,1
CR_102548,1
CR_61295,1
CR_54333,1
CR_181366,1
CR_478,1
CR_22255,1
CR_8080,1
CR_65094,1
CR_5348,1
CR_158706,0
CR_132171,1
CR_52132,1
CR_79181,1
CR_180362,1
CR_97701,1
CR_49066,1
CR_136125,0
CR_27624,1
CR_163466,1
CR_139394,0
CR_153806,1
CR_19155,1
CR_80399,1
CR_159100,1
CR_120631,0
CR_3246,1
CR_50256,1
CR_131299,1
CR_128051,1
CR_152957,1
CR_137814,1
CR_67954,1
CR_50322,1
CR_23362,0
CR_186381,1
CR_187161,1
CR_2108,1
CR_83500,1
CR_80221,1
CR_170586,1
CR_35301,1
CR_56767,1
CR_171642,1
CR_84749,1
CR_161306,1
CR_40438,1
CR_184623,0
CR_95950,0
CR_101457,1
CR_35864,1
CR_100687,1
CR_2884,1
CR_76955,1
CR_98414,1
CR_118497,1
CR_63131,0
CR_180403,1
CR_56147,1
CR_57569,1
CR_65960,1
CR_18205,1
CR_150635,1
CR_36543,1
CR_10878,1
CR_11360,1
CR_106520,0
CR_162196,1
CR_91451,1
CR_134343,1
CR_131575,1
CR_32260,1
CR_36265,1
CR_64764,1
CR_16772,1
CR_137369,1
CR_157853,1
