ID,Essayset,min_score,max_score,clarity,coherent,EssayText,score
1,1,0,3,1,0,56,1
2,1,0,3,3,0,48,1.09313447
3,1,0,3,0,2,35,1.1
4,1,0,3,0,0,17,0.2
5,1,0,3,2,0,31,1.9
6,1,0,3,0,0,24,0.2
7,1,0,3,1,0,82,0.3
8,1,0,3,2,2,65,2.8
9,1,0,3,2,2,59,3
10,1,0,3,3,1,59,2.1
11,1,0,3,0,0,13,0.1
12,1,0,3,2,2,41,2.8
13,1,0,3,3,2,46,1.9
14,1,0,3,0,1,8,1.8
15,1,0,3,1,0,56,0.1
16,1,0,3,0,0,7,0.4
17,1,0,3,2,3,52,2.4
18,1,0,3,1,0,84,0.2
19,1,0,3,1,0,45,0.3
20,1,0,3,2,1,83,2.9
21,1,0,3,0,0,46,0.2
22,1,0,3,3,3,44,2.1
23,1,0,3,1,0,28,0.4
24,1,0,3,3,2,53,2.9
25,1,0,3,3,0,14,1.4
26,1,0,3,2,3,67,1.9
27,1,0,3,3,1,25,2
28,1,0,3,1,0,71,0
29,1,0,3,2,1,24,2.9
30,1,0,3,1,0,44,0.5
31,1,0,3,3,1,65,1.9
32,1,0,3,0,0,14,0.2
33,1,0,3,2,3,26,2.9
34,1,0,3,3,3,39,2.8
35,1,0,3,0,0,35,1.1
36,1,0,3,3,1,50,1.9
37,1,0,3,3,1,55,2
38,1,0,3,0,0,36,0.1
39,1,0,3,2,3,39,1.3
40,1,0,3,2,1,58,2
41,1,0,3,0,0,33,0.8
42,1,0,3,3,3,51,3
43,1,0,3,3,3,49,2.9
44,1,0,3,3,2,31,3
45,1,0,3,3,0,36,1.8
46,1,0,3,0,0,36,0.2
47,1,0,3,3,3,58,2
48,1,0,3,0,0,41,0.2
49,1,0,3,0,0,22,0
50,1,0,3,2,3,32,2.2
51,1,0,3,0,0,37,0.9
52,1,0,3,0,0,43,0
53,1,0,3,2,2,43,2.1
54,1,0,3,3,1,39,2
55,1,0,3,2,1,71,1.9
56,1,0,3,1,0,43,0.5
57,1,0,3,1,0,38,0.3
58,1,0,3,2,1,76,2.1
59,1,0,3,2,2,64,3
60,1,0,3,2,3,62,3
61,1,0,3,1,0,38,1
62,1,0,3,3,3,49,2.7
63,1,0,3,2,0,34,1.1
64,1,0,3,0,0,40,0.2
65,1,0,3,1,0,41,0
66,1,0,3,1,0,44,0
67,1,0,3,0,3,50,1.1
68,1,0,3,3,3,51,1.9
69,1,0,3,2,2,27,2.8
70,1,0,3,0,0,63,0.9
71,1,0,3,3,0,36,1.2
72,1,0,3,3,1,56,2.1
73,1,0,3,1,0,40,0
74,1,0,3,0,0,33,1
75,1,0,3,1,0,44,0.9
76,1,0,3,3,1,74,2.5
77,1,0,3,3,2,38,2.7
78,1,0,3,1,0,59,0.2
79,1,0,3,1,0,52,0.9
80,1,0,3,1,0,52,1.2
81,1,0,3,2,1,51,2.8
82,1,0,3,2,2,82,2.1
83,1,0,3,2,0,73,1.8
84,1,0,3,0,0,29,0.1
85,1,0,3,2,0,30,1.1
86,1,0,3,2,2,69,2.7
87,1,0,3,1,0,27,0.1
88,1,0,3,1,0,48,1.1
89,1,0,3,1,0,38,0.1
90,1,0,3,3,2,85,1.8
91,1,0,3,3,2,90,3
92,1,0,3,1,0,41,0.1
93,1,0,3,2,1,75,3
94,1,0,3,2,3,49,1.6
95,1,0,3,1,3,71,1.5
96,1,0,3,0,1,47,0.1
97,1,0,3,2,3,89,2.8
98,1,0,3,1,0,20,1
99,1,0,3,1,3,12,2.8
100,1,0,3,3,3,54,2
101,1,0,3,2,3,54,3
102,1,0,3,2,2,56,1.9
103,1,0,3,1,1,88,1.4
104,1,0,3,3,2,28,2
105,1,0,3,2,3,51,1.7
106,1,0,3,1,0,40,0.9
107,1,0,3,3,2,31,2.8
108,1,0,3,2,2,61,2.8
109,1,0,3,0,0,60,1
110,1,0,3,0,0,22,0
111,1,0,3,0,0,16,0.2
112,1,0,3,2,0,34,1.1
113,1,0,3,0,0,40,1
114,1,0,3,1,2,32,2.1
115,1,0,3,0,0,42,1.1
116,1,0,3,1,0,18,0
117,1,0,3,3,1,62,2.6
118,1,0,3,1,0,10,0.4
119,1,0,3,1,0,43,0
120,1,0,3,3,1,84,2.8
121,1,0,3,2,0,52,1.1
122,1,0,3,2,1,45,2
