ID,PA,PB,PC,PD,PE,PF,PG
PR40001,232.712352,159.9006585,103.8311932,70.98985882,49.87780211,40.3938141,34.37924869
PR40002,227.0590582,160.2901354,104.6825233,70.46061553,49.41007709,39.78472847,34.84402461
PR40003,230.9123563,160.0436204,103.4555127,70.76790352,49.79523886,40.4760615,34.34039404
PR40004,227.5396308,160.5781447,104.5242861,70.29308938,49.53528176,40.09544251,34.88616989
PR40005,227.6304664,160.6006798,104.3257384,69.76863802,49.00907185,39.45013241,34.93427724
PR40006,232.5281412,159.4419784,104.0650834,70.69550104,49.64371587,40.0519958,34.44912428
PR40007,217.40734,160.3177361,104.2461813,70.1311243,48.9140008,39.83691048,34.80176796
PR40008,220.3282257,160.1724723,104.14155,69.92536407,48.89036164,39.49317285,34.84596936
PR40009,226.6300486,159.9125443,104.1092713,70.91379121,49.21219696,39.95480234,34.51327749
PR40010,221.9594236,160.5723382,104.4504877,69.81548081,48.81274343,39.5942429,35.0698163
PR40011,231.2023117,160.3538033,103.6310134,70.76492652,49.30878542,40.31401909,34.48564263
PR40012,219.5087807,161.3737808,104.3263514,69.69700766,48.38264928,39.27204261,34.9239268
PR40013,220.6040454,160.4583834,104.3330839,69.63115581,48.50379408,38.73225263,35.0317229
PR40014,228.7647412,160.1667978,103.5530818,70.78983632,49.04060989,40.19177241,34.56804991
PR40015,221.3494609,160.831148,103.6839099,69.27457501,48.67222284,39.43072834,34.99174777
PR40016,220.8220258,160.0807455,103.8730039,69.48994153,48.67632544,39.45087001,34.68385427
PR40017,226.5825423,160.49167,102.8647111,69.97102165,48.98851581,40.22242566,34.22086985
PR40018,224.0449749,160.5499752,103.854425,68.90414859,48.4620082,39.10269034,34.78599114
PR40019,218.319954,158.9417132,102.8630435,69.29189124,47.97425186,38.99123306,34.93817948
PR40020,216.33572,160.5328785,102.3270926,69.87759422,48.60244966,40.1252835,34.07617887
PR40021,227.2475531,159.9180046,102.6504339,70.26996305,48.90653835,40.19725034,34.13451127
PR40022,222.1242678,159.806975,103.5837049,69.35045754,48.47973175,39.45597759,34.98446736
PR40023,227.3856259,159.6275346,103.2805983,70.1909663,49.32015534,40.2478533,34.7502106
PR40024,224.604312,160.4928198,104.0817164,69.53319426,48.71586294,39.50311282,35.0272698
PR40025,231.7902372,159.7854634,104.4148828,71.10725786,49.59307421,40.1723904,34.69897145
PR40026,223.8987356,160.3558855,104.4207868,70.46686041,49.24258823,39.43188613,34.89329408
PR40027,235.9582036,159.6089134,104.3095892,71.20725178,50.519112,40.23041586,34.48335335
PR40028,228.0802462,160.4923945,104.5509014,70.80128888,49.80739072,39.6667498,34.79886762
PR40029,238.4171213,160.2976934,104.6805119,71.78391117,51.0087331,40.16225544,34.44141202
PR40030,230.657618,160.0476765,105.2550373,71.37842654,50.16215177,39.48134291,34.71554324
PR40031,242.0279623,160.1163216,105.2382543,72.61956053,51.72253775,40.28054881,34.41591329
PR40032,235.1624315,159.405222,105.3746982,71.87141738,51.02302641,39.74731638,34.73271419
PR40033,245.6797578,160.2833522,104.900222,72.60354816,52.02373646,41.06681494,34.36544254
PR40034,240.4518607,160.2119527,105.6787242,72.16689422,51.15495275,39.85217915,34.77388521
PR40035,241.2550204,160.5560252,105.7915166,72.31618177,51.28566083,40.00161547,34.72749692
