ID,default_payment_next_month
10178,0
5304,0
5187,0
14495,0
20444,0
17667,0
21211,0
7178,1
20783,0
24033,1
754,0
23732,0
6072,0
17662,1
5541,0
22697,0
29905,0
6695,0
12664,1
15392,0
309,1
16129,0
6324,0
23673,1
28889,0
17687,0
27129,0
8487,0
10304,1
14991,0
8380,0
17401,0
15805,0
17839,0
24324,0
5925,1
11137,0
9991,0
6622,1
17112,1
7694,1
23055,0
19684,0
26520,1
8633,1
15602,0
21244,0
9804,0
24276,0
11723,0
23656,0
9047,0
9246,0
650,1
4330,0
27006,1
6766,0
14481,0
18262,0
22076,0
24238,0
12731,0
2226,0
17380,1
22072,0
27390,0
19619,0
12919,0
6537,0
24342,1
772,0
12966,0
18832,0
9347,0
29171,1
18604,0
25368,0
14414,0
4515,0
27668,0
20039,0
28604,1
19283,0
29592,1
5952,0
14746,0
8135,1
936,0
15106,0
13717,1
15431,0
12176,0
26616,1
6585,0
13415,0
28033,1
18775,0
22414,1
13628,1
4437,1
14083,0
6745,1
11214,0
1200,0
24915,0
15317,1
25130,0
21497,0
2432,1
4312,1
3390,1
20785,0
12516,0
17228,0
1845,0
13834,0
2290,0
21988,0
10445,0
11991,0
6818,0
19525,0
12878,0
15762,0
21397,0
13127,0
25072,1
3227,0
7260,0
4366,0
2185,0
14132,0
10094,0
6815,0
10788,0
7364,0
28316,0
23427,1
21496,0
4802,1
23522,0
28206,0
21212,0
12017,0
3081,0
20225,1
23735,0
28396,0
12618,0
21897,0
26866,1
16713,0
3319,1
1177,0
3511,0
29192,0
3229,0
28167,0
17445,1
13853,0
26977,0
16572,1
4969,0
10276,0
18699,0
24230,1
14127,0
15285,0
9057,0
314,1
7726,1
5723,0
9072,0
14107,0
145,0
24423,1
22725,1
20076,0
8284,0
8913,0
6326,1
13918,0
2020,1
8805,0
18822,1
20055,0
1254,0
10785,1
18392,0
6679,0
2433,1
17303,0
23846,0
12631,0
16250,0
26577,0
18831,0
14697,0
20765,0
26177,0
29311,0
24408,0
6383,1
20685,1
3809,0
21273,0
18934,0
14851,0
15039,0
28924,0
20323,1
4159,0
23311,1
18500,0
12312,0
5176,0
29809,0
8224,1
26644,1
21569,1
3908,1
14974,1
19720,0
13244,1
18037,0
29716,1
6784,1
3110,0
26797,0
29080,0
19229,0
16329,0
13004,0
25354,1
7464,0
7911,0
15409,0
20893,1
10835,0
21892,1
25921,0
26056,0
26809,0
13321,0
17387,1
21143,0
213,0
19401,1
19504,0
5788,1
18353,0
2683,0
2159,0
899,0
10693,0
23451,0
18539,0
4715,0
9989,0
