"predict","no","yes"
"no",0.8358675866552367,0.16413241334476322
"no",0.8566242089520433,0.14337579104795667
"no",0.8776039479684496,0.1223960520315504
"no",0.8726711912411915,0.12732880875880842
"no",0.8932105480744318,0.10678945192556819
"no",0.875577129599313,0.124422870400687
"no",0.816790355784795,0.18320964421520505
"yes",0.6034091212843706,0.3965908787156293
"no",0.9070025676565868,0.09299743234341319
"yes",0.6553655846046192,0.34463441539538076
"no",0.892186444641056,0.10781355535894399
"no",0.8035333565924583,0.19646664340754166
"no",0.862105072577069,0.13789492742293097
"yes",0.7500517798335495,0.2499482201664504
"no",0.7729940728547956,0.22700592714520437
"no",0.8450596810182504,0.15494031898174965
"no",0.8387212688160511,0.16127873118394886
"no",0.8059373921784877,0.19406260782151233
"yes",0.47795593890974664,0.5220440610902534
"no",0.9135080411408125,0.0864919588591875
"yes",0.4211929650867029,0.5788070349132971
"no",0.8964854767244025,0.10351452327559756
"no",0.8794104070189813,0.12058959298101868
"yes",0.7454471482074501,0.25455285179255
"no",0.82678196452865,0.17321803547134998
"no",0.8767483665056311,0.12325163349436881
"no",0.8233427432344725,0.17665725676552743
"no",0.8811026121483264,0.11889738785167357
"no",0.7870033782047962,0.21299662179520387
"no",0.7515685508432961,0.24843144915670387
"no",0.8641423003362944,0.13585769966370567
"no",0.7592040515963793,0.24079594840362073
"no",0.8799632988904108,0.1200367011095892
"no",0.820621825507251,0.17937817449274898
"yes",0.7486766591535716,0.2513233408464283
"yes",0.508428053597247,0.4915719464027531
"no",0.8675185527704208,0.13248144722957927
"no",0.890890719230724,0.109109280769276
"yes",0.4669277489910896,0.5330722510089104
"yes",0.6465536802601906,0.3534463197398094
"no",0.791100566071709,0.20889943392829097
"no",0.7676834148843313,0.23231658511566863
"no",0.7972786840627656,0.20272131593723444
"yes",0.6233599547780599,0.3766400452219401
"yes",0.6074211808240941,0.39257881917590587
"no",0.8760505976777359,0.12394940232226417
"no",0.8855946869919318,0.11440531300806826
"no",0.7519122450474196,0.24808775495258034
"no",0.9075770040996769,0.09242299590032306
"no",0.8755984584157495,0.12440154158425056
"yes",0.732632291171005,0.267367708828995
"no",0.8238919779487568,0.17610802205124315
"no",0.8482187664248804,0.15178123357511958
"yes",0.41076228547153315,0.5892377145284668
"no",0.8267761731502744,0.17322382684972562
"yes",0.6576761042354976,0.3423238957645024
"no",0.8968754313345858,0.10312456866541415
"no",0.8262385794632336,0.17376142053676638
"no",0.8071505701958261,0.19284942980417383
"no",0.8211226974544206,0.17887730254557938
"no",0.8347738789102159,0.16522612108978402
"no",0.8752087017334287,0.12479129826657127
"no",0.8142803979289499,0.1857196020710501
"yes",0.6779522031302088,0.32204779686979124
"no",0.8661241377095602,0.13387586229043982
"no",0.8550636158887087,0.14493638411129128
"no",0.9044809608506922,0.0955190391493078
"no",0.8268641635048662,0.17313583649513375
"no",0.8116837892666129,0.18831621073338708
"yes",0.4234104665351037,0.5765895334648963
"yes",0.7352883094260934,0.2647116905739067
"no",0.8742922014614884,0.12570779853851155
"no",0.8549415870682634,0.14505841293173657
"no",0.791220769084237,0.20877923091576298
"yes",0.5617786494634744,0.4382213505365255
"no",0.822645759363674,0.17735424063632596
"no",0.8734131303824951,0.12658686961750484
"no",0.8143978689704439,0.18560213102955614
"no",0.8363048671516887,0.16369513284831128
"no",0.8601084537002652,0.13989154629973471
"no",0.8920311017970028,0.10796889820299711
"yes",0.34278270356735796,0.657217296432642
"no",0.8705793852469712,0.12942061475302877
"no",0.753456775136862,0.24654322486313796
"no",0.8281545667779846,0.17184543322201534
"no",0.7784510981155286,0.22154890188447143
"yes",0.5103829186944668,0.4896170813055332
"no",0.829909858037247,0.17009014196275296
"no",0.8048996760311691,0.19510032396883098
"yes",0.6904160847221457,0.30958391527785434
"no",0.8544023152427623,0.14559768475723767
"no",0.901302521315986,0.09869747868401399
"yes",0.49536180202586433,0.5046381979741357
"no",0.8752680856454814,0.12473191435451857
"no",0.7893117152568154,0.21068828474318455
"yes",0.44369370831538457,0.5563062916846154
"no",0.907567023909325,0.09243297609067497
"yes",0.7011875496079563,0.29881245039204374
"yes",0.6099895123645025,0.39001048763549745
"yes",0.6165146561164812,0.38348534388351885
"no",0.8112361216357857,0.18876387836421424
"yes",0.6781747646181198,0.3218252353818802
"no",0.8169171725164552,0.1830828274835448
"no",0.7882928149108854,0.21170718508911462
"no",0.9103288610334005,0.08967113896659948
"yes",0.45253151589546425,0.5474684841045357
"no",0.8620111541156519,0.13798884588434812
"no",0.9141727576952998,0.08582724230470012
"yes",0.6115698245094584,0.3884301754905416
"yes",0.7395169051697793,0.2604830948302207
"yes",0.4959032794145284,0.5040967205854716
"no",0.8972384519370521,0.10276154806294788
"no",0.8141384373510108,0.1858615626489892
"no",0.8699990972583115,0.13000090274168855
"no",0.7997176651485716,0.20028233485142843
"no",0.831051132119966,0.16894886788003408
"no",0.8186088321604995,0.18139116783950052
"no",0.791496209763286,0.2085037902367139
"no",0.7778710458530351,0.22212895414696487
"no",0.8264564703196882,0.17354352968031178
"no",0.8819362212763071,0.11806377872369284
"no",0.8933072219435939,0.10669277805640612
"no",0.7931493139137885,0.20685068608621146
"no",0.8232946963703411,0.1767053036296589
"no",0.8363122534873544,0.16368774651264562
"no",0.8910047247525444,0.10899527524745559
"yes",0.4494278196187148,0.5505721803812852
"no",0.8632925185689877,0.1367074814310123
"no",0.8620762063360833,0.1379237936639167
"no",0.8686409932866683,0.13135900671333164
"no",0.8359001516424648,0.16409984835753524
"no",0.8282927328800871,0.17170726711991285
"no",0.7889417677481316,0.21105823225186832
"no",0.8784982079038168,0.12150179209618316
"no",0.8285820398029763,0.1714179601970237
"no",0.8289775699272662,0.17102243007273377
"no",0.8690922166553243,0.13090778334467568
"yes",0.39592569998843274,0.6040743000115673
"no",0.8638811990235233,0.13611880097647663
"yes",0.4309623729580696,0.5690376270419304
"no",0.7873996372846374,0.21260036271536265
"no",0.7979694771457178,0.20203052285428222
"no",0.8865410773997154,0.11345892260028453
"no",0.8351098506949348,0.1648901493050652
"no",0.8376783467116987,0.16232165328830128
"yes",0.48666355578936027,0.5133364442106397
"no",0.9014065317968769,0.09859346820312309
"no",0.8443786243422581,0.15562137565774195
"no",0.8601147907037907,0.1398852092962093
"no",0.8245089393566905,0.17549106064330952
"yes",0.5281623790835368,0.47183762091646314
"no",0.808108431409786,0.19189156859021392
"yes",0.4694756581746551,0.5305243418253449
"no",0.8318681399091221,0.16813186009087783
