"predict","no","yes"
"no",0.8624428895612353,0.13755711043876476
"no",0.8888439345779249,0.11115606542207507
"no",0.8951285831140999,0.10487141688590004
"no",0.8984508179480464,0.10154918205195361
"no",0.9058305898606284,0.09416941013937162
"no",0.9012923291430709,0.09870767085692912
"no",0.8486446537389172,0.15135534626108285
"yes",0.4492208183405765,0.5507791816594235
"no",0.9120172250393138,0.08798277496068621
"yes",0.6637806578141008,0.3362193421858992
"no",0.9055391977606655,0.09446080223933445
"no",0.8403283401421595,0.15967165985784043
"no",0.896827427559914,0.10317257244008608
"yes",0.7470376630058824,0.25296233699411763
"no",0.7915997573703749,0.2084002426296251
"no",0.8622061682416383,0.1377938317583617
"no",0.8670414209804344,0.13295857901956568
"no",0.8138704349784271,0.18612956502157288
"yes",0.39314007592840405,0.606859924071596
"no",0.918272992538333,0.08172700746166696
"yes",0.25830055020385856,0.7416994497961414
"no",0.9100338413165894,0.08996615868341058
"no",0.8989874238821859,0.10101257611781408
"yes",0.7083212444581232,0.29167875554187683
"no",0.8707662988834853,0.1292337011165147
"no",0.903008864169649,0.09699113583035107
"no",0.8643453027019625,0.13565469729803753
"no",0.9030497296498327,0.09695027035016736
"no",0.8228280772091962,0.17717192279080388
"no",0.8147226047161307,0.18527739528386933
"no",0.8868689419616378,0.11313105803836221
"no",0.8099025070977025,0.19009749290229752
"no",0.8963900606605649,0.10360993933943509
"no",0.8588973194513801,0.14110268054861985
"yes",0.7757884224857645,0.22421157751423546
"yes",0.3504676564017877,0.6495323435982123
"no",0.8852883534466766,0.11471164655332342
"no",0.9049171866263509,0.09508281337364906
"yes",0.3384861998203662,0.6615138001796338
"yes",0.5407584949827651,0.45924150501723493
"no",0.8394292938067778,0.16057070619322228
"no",0.8321677958302028,0.16783220416979716
"no",0.842658007714396,0.157341992285604
"yes",0.6318983347856688,0.36810166521433113
"yes",0.5039343056832566,0.49606569431674336
"no",0.8924052213451045,0.10759477865489556
"no",0.9015988559283552,0.09840114407164477
