ID,default.payment.next.month
1,1
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,1
23,1
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,1
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,1
65,0
66,1
67,1
68,0
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,1
81,0
82,0
83,1
84,0
85,0
86,0
87,1
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,1
119,0
120,0
121,1
122,1
123,0
124,1
125,0
126,0
127,0
128,1
129,1
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,0
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,0
186,1
187,0
188,1
189,0
190,0
191,0
192,1
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,1
209,1
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,1
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,1
230,0
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,0
239,1
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,1
269,0
270,1
271,0
272,0
273,1
274,0
275,1
276,0
277,1
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,1
292,1
293,0
294,1
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,1
305,0
306,0
307,0
308,0
309,1
310,0
311,0
312,0
313,0
314,1
315,0
316,1
317,0
318,0
319,0
320,0
321,1
322,0
323,0
324,1
325,0
326,0
327,1
328,1
329,0
330,0
331,1
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,1
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,1
349,0
350,1
351,0
352,0
353,1
354,0
355,0
356,1
357,0
358,0
359,0
360,0
361,1
362,0
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,1
371,1
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,1
381,0
382,1
383,0
384,1
385,0
386,0
387,0
388,1
389,0
390,1
391,0
392,1
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,1
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,1
412,0
413,0
414,1
415,0
416,0
417,0
418,0
419,0
420,1
421,0
422,0
423,0
424,1
425,0
426,0
427,1
428,1
429,0
430,0
431,0
432,1
433,0
434,0
435,0
436,1
437,0
438,0
439,0
440,1
441,0
442,0
443,0
444,0
445,1
446,0
447,0
448,0
449,0
450,0
451,1
452,1
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,0
466,1
467,1
468,0
469,0
470,0
471,1
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,1
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,0
491,0
492,0
493,0
494,0
495,1
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,1
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,1
513,0
514,1
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,1
524,1
525,0
526,0
527,0
528,1
529,0
530,0
531,0
532,0
533,1
534,1
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,1
544,0
545,0
546,0
547,1
548,0
549,0
550,0
551,1
552,1
553,1
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,1
568,0
569,0
570,0
571,0
572,0
573,0
574,1
575,0
576,1
577,0
578,0
579,0
580,0
581,1
582,0
583,0
584,0
585,0
586,0
587,1
588,1
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,1
