"predict","no","yes"
"no",0.8457308294560753,0.15426917054392472
"no",0.8693850626428562,0.13061493735714377
"no",0.8900965345160944,0.10990346548390566
"no",0.8976608245408216,0.10233917545917838
"no",0.9118340763539292,0.08816592364607073
"no",0.903530746842315,0.09646925315768501
"no",0.8638450921535636,0.13615490784643636
"yes",0.48802354229582856,0.5119764577041714
"no",0.9181805528961863,0.0818194471038137
"yes",0.6177889454922864,0.38221105450771364
"no",0.9071026471360472,0.09289735286395283
"no",0.8637183584340633,0.1362816415659367
"no",0.906748285943767,0.09325171405623306
"yes",0.7648636458687831,0.23513635413121692
"no",0.83666625355417,0.16333374644582996
"no",0.8654776539249031,0.13452234607509697
"no",0.8675857774960938,0.13241422250390628
"no",0.8489908056078008,0.15100919439219923
"yes",0.44391931671788143,0.5560806832821186
"no",0.9218959546423842,0.07810404535761586
"yes",0.25652593709661087,0.7434740629033891
"no",0.902218598418848,0.09778140158115206
"no",0.8973128441922895,0.10268715580771046
"yes",0.7486794384577531,0.2513205615422469
"no",0.8895501783676607,0.11044982163233934
"no",0.9022608953381438,0.09773910466185616
"no",0.8297905768618582,0.17020942313814183
"no",0.900070599270033,0.09992940072996707
"yes",0.7800717197221159,0.21992828027788414
"no",0.8516059070231424,0.1483940929768576
"no",0.8942513743762773,0.10574862562372266
"no",0.8185633977994253,0.18143660220057461
"no",0.8871518423710184,0.1128481576289816
"no",0.8500383731451114,0.1499616268548886
"no",0.8127713036947526,0.18722869630524747
"yes",0.2670514525336415,0.7329485474663585
"no",0.9015578847582493,0.09844211524175078
"no",0.9102678926714077,0.08973210732859231
"yes",0.3337435775932751,0.6662564224067249
"yes",0.5791925838910505,0.42080741610894945
"yes",0.7732021399374333,0.22679786006256678
"no",0.8143919412599094,0.18560805874009054
"no",0.8713707852066145,0.12862921479338552
"yes",0.5802476307536699,0.4197523692463301
"yes",0.514736676320041,0.48526332367995895
"no",0.8718201306117643,0.12817986938823567
"no",0.892831319865262,0.10716868013473807
"no",0.794691510417017,0.20530848958298295
"no",0.9152441115571908,0.08475588844280918
"no",0.9034197777265154,0.0965802222734846
"no",0.7889482299248314,0.2110517700751686
"no",0.890099783072714,0.10990021692728606
"no",0.8968284936216373,0.10317150637836273
"yes",0.2961926596264549,0.7038073403735451
"no",0.8539508375011609,0.14604916249883915
"yes",0.6758650251071059,0.32413497489289417
"no",0.9102187750788109,0.08978122492118913
"no",0.8527417892391687,0.1472582107608314
"no",0.8502295843476972,0.1497704156523028
"no",0.8700581966113239,0.12994180338867617
"no",0.8764550477825281,0.12354495221747189
"no",0.875571609519034,0.12442839048096599
"no",0.8880773906228746,0.11192260937712542
"yes",0.7033644662924932,0.2966355337075069
"no",0.8934807628721825,0.10651923712781751
"no",0.8779068548938179,0.12209314510618204
"no",0.9191134226040156,0.0808865773959844
"no",0.8595849996163029,0.14041500038369711
"no",0.8418961396591279,0.15810386034087207
"yes",0.16589848017855302,0.834101519821447
"no",0.8002474149278901,0.19975258507210988
"no",0.8985121550845442,0.10148784491545586
"no",0.8801997988643383,0.11980020113566174
"no",0.8568604615725552,0.14313953842744476
"yes",0.5668026182721985,0.43319738172780153
"no",0.8742797816006453,0.1257202183993547
"no",0.8912487125037112,0.1087512874962888
"no",0.8219266037497104,0.17807339625028967
"no",0.8832244649328688,0.1167755350671312
"no",0.8949062007921361,0.10509379920786384
"no",0.8913045647367164,0.10869543526328358
"yes",0.13371686643289027,0.8662831335671097
"no",0.8965914226555567,0.10340857734444334
"yes",0.7644719792523431,0.23552802074765689
"no",0.8520775988298611,0.1479224011701389
"no",0.8136344652775338,0.1863655347224662
"yes",0.33209564763734023,0.6679043523626598
"no",0.8681318682507599,0.13186813174924011
"no",0.8663537514298114,0.13364624857018864
"yes",0.7819176857075402,0.21808231429245983
"no",0.8609663395279299,0.13903366047207016
"no",0.9092539920473561,0.09074600795264387
"yes",0.3298503664665138,0.6701496335334862
"no",0.9022376342070927,0.09776236579290733
"no",0.8374782946986755,0.1625217053013245
"yes",0.2655654648814576,0.7344345351185424
"no",0.9159477852483047,0.08405221475169528
"yes",0.7699892520953828,0.23001074790461717
"yes",0.5277014560111777,0.4722985439888223
"yes",0.6090266273823792,0.39097337261762083
"no",0.8343968346098004,0.16560316539019962
"yes",0.7333610193176006,0.2666389806823994
"no",0.8525112984755534,0.1474887015244466
"no",0.8324541419519245,0.16754585804807554
"no",0.9233764406423444,0.07662355935765565
"yes",0.2930825648680979,0.7069174351319021
"no",0.9018727159232083,0.09812728407679168
