application_date,segment,case_count
4/1/2017,1,40
4/3/2017,1,5
4/4/2017,1,4
4/5/2017,1,113
4/7/2017,1,76
4/12/2017,1,123
4/13/2017,1,81
4/14/2017,1,117
4/15/2017,1,127
4/16/2017,1,42
4/17/2017,1,145
4/18/2017,1,100
4/19/2017,1,140
4/20/2017,1,81
4/21/2017,1,120
4/22/2017,1,79
4/23/2017,1,41
4/24/2017,1,111
4/25/2017,1,115
4/26/2017,1,124
4/27/2017,1,114
4/28/2017,1,114
4/29/2017,1,127
4/30/2017,1,497
5/1/2017,1,130
5/2/2017,1,17
5/3/2017,1,11
5/4/2017,1,18
5/5/2017,1,188
5/7/2017,1,26
5/8/2017,1,0
5/9/2017,1,1
5/10/2017,1,147
5/11/2017,1,97
5/12/2017,1,124
5/13/2017,1,88
5/14/2017,1,50
5/15/2017,1,170
5/16/2017,1,132
5/17/2017,1,143
5/18/2017,1,107
5/19/2017,1,98
5/20/2017,1,96
5/21/2017,1,47
5/22/2017,1,137
5/23/2017,1,115
5/24/2017,1,121
5/25/2017,1,99
5/26/2017,1,111
5/27/2017,1,109
5/28/2017,1,66
5/29/2017,1,133
5/30/2017,1,122
5/31/2017,1,488
6/1/2017,1,0
6/2/2017,1,39
6/3/2017,1,40
6/4/2017,1,29
6/5/2017,1,133
6/6/2017,1,18
6/7/2017,1,113
6/8/2017,1,98
6/9/2017,1,157
6/10/2017,1,147
6/11/2017,1,73
6/12/2017,1,177
6/13/2017,1,152
6/14/2017,1,179
6/15/2017,1,157
6/16/2017,1,161
6/17/2017,1,182
6/18/2017,1,92
6/19/2017,1,209
6/20/2017,1,183
6/21/2017,1,236
6/22/2017,1,222
6/23/2017,1,258
6/24/2017,1,323
6/25/2017,1,297
6/26/2017,1,147
6/27/2017,1,172
6/28/2017,1,189
6/29/2017,1,187
6/30/2017,1,730
7/1/2017,1,107
7/2/2017,1,0
7/5/2017,1,106
7/6/2017,1,8
7/7/2017,1,40
7/10/2017,1,147
7/11/2017,1,108
7/12/2017,1,108
7/13/2017,1,95
7/14/2017,1,116
7/15/2017,1,86
7/16/2017,1,60
7/17/2017,1,133
7/18/2017,1,124
7/19/2017,1,142
7/20/2017,1,87
7/21/2017,1,107
7/22/2017,1,64
7/23/2017,1,41
7/24/2017,1,77
7/25/2017,1,79
7/26/2017,1,111
7/27/2017,1,75
7/28/2017,1,101
7/29/2017,1,85
7/30/2017,1,75
7/31/2017,1,716
8/1/2017,1,59
8/3/2017,1,1
8/4/2017,1,0
8/5/2017,1,1
8/6/2017,1,0
8/7/2017,1,167
8/8/2017,1,136
8/9/2017,1,108
8/10/2017,1,130
8/11/2017,1,146
8/12/2017,1,125
8/13/2017,1,78
8/14/2017,1,202
8/15/2017,1,66
8/16/2017,1,202
8/17/2017,1,136
8/18/2017,1,142
8/19/2017,1,138
8/20/2017,1,113
8/21/2017,1,179
8/22/2017,1,170
8/23/2017,1,186
8/24/2017,1,154
8/25/2017,1,195
8/26/2017,1,150
8/27/2017,1,131
8/28/2017,1,218
8/29/2017,1,145
8/30/2017,1,207
8/31/2017,1,1397
9/4/2017,1,3
9/5/2017,1,109
9/7/2017,1,103
9/8/2017,1,225
9/9/2017,1,185
9/10/2017,1,202
9/11/2017,1,263
9/12/2017,1,259
9/13/2017,1,254
9/14/2017,1,311
9/15/2017,1,362
9/16/2017,1,299
9/17/2017,1,135
9/18/2017,1,342
9/19/2017,1,325
9/20/2017,1,335
9/21/2017,1,303
9/22/2017,1,339
9/23/2017,1,350
9/24/2017,1,416
9/25/2017,1,424
9/26/2017,1,526
9/27/2017,1,311
9/28/2017,1,96
9/29/2017,1,39
9/30/2017,1,1417
10/1/2017,1,22
10/2/2017,1,3
10/3/2017,1,3
10/4/2017,1,5
10/5/2017,1,8
10/6/2017,1,2
10/7/2017,1,2
10/8/2017,1,8
10/9/2017,1,87
10/10/2017,1,137
10/11/2017,1,275
10/12/2017,1,218
10/13/2017,1,249
10/14/2017,1,235
10/15/2017,1,243
10/16/2017,1,406
10/17/2017,1,428
10/18/2017,1,392
10/19/2017,1,277
10/20/2017,1,134
10/21/2017,1,58
10/22/2017,1,112
10/23/2017,1,215
10/24/2017,1,191
10/25/2017,1,190
10/26/2017,1,149
10/27/2017,1,201
10/28/2017,1,160
10/29/2017,1,109
10/30/2017,1,200
10/31/2017,1,1054
11/1/2017,1,44
11/2/2017,1,0
11/3/2017,1,0
11/4/2017,1,0
11/5/2017,1,1
11/6/2017,1,0
11/7/2017,1,6
11/8/2017,1,111
11/9/2017,1,127
11/10/2017,1,129
11/11/2017,1,124
11/12/2017,1,82
11/13/2017,1,158
11/14/2017,1,132
11/15/2017,1,79
11/16/2017,1,93
11/17/2017,1,115
11/18/2017,1,123
11/19/2017,1,239
11/20/2017,1,0
11/21/2017,1,139
11/22/2017,1,126
11/23/2017,1,123
11/24/2017,1,124
11/25/2017,1,115
11/26/2017,1,71
11/27/2017,1,131
11/28/2017,1,111
11/29/2017,1,140
11/30/2017,1,449
12/1/2017,1,0
12/2/2017,1,0
12/3/2017,1,11
12/4/2017,1,114
12/5/2017,1,141
12/6/2017,1,127
12/7/2017,1,106
12/8/2017,1,136
12/9/2017,1,107
12/10/2017,1,52
12/11/2017,1,174
12/12/2017,1,162
12/13/2017,1,166
12/14/2017,1,145
12/15/2017,1,165
12/16/2017,1,90
12/17/2017,1,105
12/18/2017,1,236
12/19/2017,1,163
12/20/2017,1,216
12/21/2017,1,104
12/22/2017,1,84
12/23/2017,1,144
12/24/2017,1,98
12/25/2017,1,120
12/26/2017,1,178
12/27/2017,1,160
12/28/2017,1,156
12/29/2017,1,210
12/30/2017,1,174
12/31/2017,1,925
1/1/2018,1,81
1/2/2018,1,0
1/3/2018,1,0
1/4/2018,1,0
1/5/2018,1,130
1/6/2018,1,89
1/8/2018,1,0
1/9/2018,1,125
1/10/2018,1,133
1/11/2018,1,117
1/12/2018,1,148
1/13/2018,1,123
1/14/2018,1,113
1/15/2018,1,176
1/16/2018,1,161
1/17/2018,1,176
1/18/2018,1,131
1/19/2018,1,195
1/20/2018,1,178
1/21/2018,1,148
1/22/2018,1,143
1/23/2018,1,188
1/24/2018,1,151
1/25/2018,1,128
1/26/2018,1,67
1/27/2018,1,129
1/28/2018,1,105
1/29/2018,1,163
1/30/2018,1,162
1/31/2018,1,667
2/1/2018,1,65
2/2/2018,1,0
2/3/2018,1,0
2/5/2018,1,167
2/6/2018,1,185
2/7/2018,1,176
2/8/2018,1,127
2/9/2018,1,176
2/10/2018,1,153
2/11/2018,1,106
2/12/2018,1,179
2/13/2018,1,195
2/14/2018,1,227
2/15/2018,1,144
2/16/2018,1,194
2/17/2018,1,145
2/18/2018,1,123
2/19/2018,1,149
2/20/2018,1,156
2/21/2018,1,184
2/22/2018,1,157
2/23/2018,1,194
2/24/2018,1,164
2/25/2018,1,125
2/26/2018,1,211
2/27/2018,1,176
2/28/2018,1,715
3/1/2018,1,2
3/3/2018,1,0
3/5/2018,1,241
3/6/2018,1,180
3/7/2018,1,178
3/8/2018,1,169
3/9/2018,1,201
3/10/2018,1,172
3/11/2018,1,136
3/12/2018,1,243
3/13/2018,1,217
3/14/2018,1,221
3/15/2018,1,158
3/16/2018,1,225
3/17/2018,1,173
3/18/2018,1,166
3/19/2018,1,244
3/20/2018,1,220
3/21/2018,1,197
3/22/2018,1,196
3/23/2018,1,214
3/24/2018,1,200
3/25/2018,1,183
3/26/2018,1,249
3/27/2018,1,209
3/28/2018,1,255
3/29/2018,1,187
3/30/2018,1,233
3/31/2018,1,1657
4/1/2018,1,0
4/2/2018,1,0
4/3/2018,1,0
4/4/2018,1,0
4/5/2018,1,0
4/6/2018,1,0
4/7/2018,1,0
4/8/2018,1,4
4/9/2018,1,405
4/10/2018,1,3
4/11/2018,1,256
4/12/2018,1,198
4/13/2018,1,232
4/14/2018,1,241
4/15/2018,1,348
4/16/2018,1,278
4/17/2018,1,231
4/18/2018,1,224
4/19/2018,1,195
4/20/2018,1,207
4/21/2018,1,167
4/22/2018,1,147
4/23/2018,1,228
4/24/2018,1,209
4/25/2018,1,220
4/26/2018,1,188
4/27/2018,1,199
4/28/2018,1,183
4/29/2018,1,164
4/30/2018,1,305
5/1/2018,1,1
5/2/2018,1,208
5/3/2018,1,184
5/4/2018,1,197
5/5/2018,1,182
5/6/2018,1,154
5/7/2018,1,255
5/8/2018,1,201
5/9/2018,1,227
5/10/2018,1,162
5/11/2018,1,170
5/12/2018,1,183
5/13/2018,1,114
5/14/2018,1,122
5/15/2018,1,218
5/16/2018,1,207
5/17/2018,1,154
5/18/2018,1,180
5/19/2018,1,177
5/20/2018,1,169
5/21/2018,1,256
5/22/2018,1,174
5/23/2018,1,191
5/24/2018,1,194
5/25/2018,1,201
5/26/2018,1,162
5/27/2018,1,182
5/28/2018,1,234
5/29/2018,1,191
5/30/2018,1,236
5/31/2018,1,341
6/1/2018,1,20
6/2/2018,1,215
6/3/2018,1,180
6/4/2018,1,308
6/5/2018,1,322
6/6/2018,1,289
6/7/2018,1,245
6/8/2018,1,268
6/9/2018,1,260
6/10/2018,1,315
6/11/2018,1,322
6/12/2018,1,314
6/13/2018,1,515
6/14/2018,1,523
6/15/2018,1,643
6/16/2018,1,198
6/17/2018,1,198
6/18/2018,1,341
6/19/2018,1,207
6/20/2018,1,279
6/21/2018,1,218
6/22/2018,1,284
6/23/2018,1,202
6/24/2018,1,141
6/25/2018,1,190
6/26/2018,1,134
6/27/2018,1,199
6/28/2018,1,191
6/29/2018,1,166
6/30/2018,1,321
7/1/2018,1,3
7/2/2018,1,142
7/3/2018,1,154
7/4/2018,1,134
7/5/2018,1,98
7/6/2018,1,84
7/7/2018,1,80
7/8/2018,1,59
7/9/2018,1,114
7/10/2018,1,122
7/11/2018,1,121
7/12/2018,1,80
7/13/2018,1,96
7/14/2018,1,95
7/15/2018,1,60
7/16/2018,1,102
7/17/2018,1,95
7/18/2018,1,92
7/19/2018,1,69
7/20/2018,1,89
7/21/2018,1,60
7/22/2018,1,44
7/23/2018,1,83
7/24/2018,1,96
7/25/2018,1,82
7/26/2018,1,34
7/27/2018,1,92
7/28/2018,1,54
7/29/2018,1,59
7/30/2018,1,109
7/31/2018,1,102
8/1/2018,1,51
8/2/2018,1,0
8/3/2018,1,64
8/4/2018,1,61
