Title,Author,Edition,type,Date,Reviews,Ratings,BookCategory,Synopsis_Polarity_score,Synopsis_subjectivity_score,Price
5803,748,13,20,3/10/2016,4,8,0,0.208799534,0.451340326,220
2120,370,13,20,11/7/2012,3.9,14,2,0.183471074,0.522176309,202.93
2982,4045,13,20,2/25/1982,4.8,6,6,0.191074811,0.465767045,299
189,79,13,20,10/5/2017,4.1,13,5,0.1,0.375,180
2853,1138,8,20,10/10/2006,5,1,1,0.35625,0.845625,965.62
1042,888,13,20,5/5/2009,4.5,8,10,0.188787879,0.630909091,900
1346,79,13,20,10/5/2017,4.4,72,5,0.3453125,0.7375,224
6726,3777,8,11,3/1/2018,4.7,16,10,0.25,0.427083333,836
2761,2359,13,20,12/15/2015,4.2,111,2,0.245454545,0.535227273,130
5458,2554,13,20,3/26/2013,4,1,0,0.101284722,0.614444444,695
679,3203,13,20,1/20/2017,4.9,132,7,0.014251894,0.466429924,373
807,1060,13,11,6/14/2018,3.5,17,4,0.157328571,0.48012381,309
4701,1683,13,20,7/1/1999,4.1,4,0,0.3,0.833333333,379
4865,4318,13,20,11/15/2002,5,3,10,0.086875,0.335416667,1066
464,2628,13,20,9/1/2011,3.8,5,9,-0.128472222,0.411111111,381.22
4664,2547,13,20,2/26/2015,5,2,3,0.168402778,0.45,287
3417,720,8,20,3/8/2018,5,1,5,0.361538462,0.552564103,162
3482,3969,13,20,11/1/2016,4.9,23,3,0.118434343,0.407512626,587
5996,4282,12,20,1/1/1991,4.5,76,2,0.359259259,0.577777778,291
2601,987,13,20,7/8/1905,4.3,5,4,0.028174603,0.285714286,352
6093,1555,8,20,11/24/2018,4.9,10,0,0.26462585,0.501681784,339
3254,2340,13,11,10/4/2018,5,2,10,0.377083333,0.310416667,309
5133,2470,13,20,7/5/2012,3.1,2,0,0.168181818,0.425757576,262
4292,2728,13,20,11/1/2014,3.1,10,4,0.207777778,0.348888889,607
1990,1800,13,20,8/31/2012,4.8,9,7,0.221487603,0.538292011,536
4606,3370,8,6,10/18/2011,4,1,8,0.08429089,0.41547619,621
1822,3670,13,20,3/1/2016,4.3,15,10,0.040625,0.275,286.98
5003,2898,13,4,6/15/2014,4.3,34,3,0.095,0.363333333,3779
52,584,8,20,9/15/2014,5,17,10,0.089885115,0.626998002,802
3239,613,13,20,4/23/1989,5,9,2,0.3,0.6425,588.26
5399,916,13,20,11/21/2013,4,32,5,0.171428571,0.428571429,340
4836,3437,13,20,7/21/2015,3.9,2,6,0.3,0.5375,799
2997,1506,13,20,10/14/2000,4.4,49,2,0.052960526,0.347869674,395.1
5184,3741,13,20,9/5/2005,4.2,49,9,0.037404468,0.446061141,225
4867,2788,8,20,5/10/2016,4.3,10,3,0.089636364,0.599454545,1780
2122,4044,13,20,7/11/1905,4.3,8,5,0.260416667,0.741666667,309
1293,3265,13,20,6/11/2014,4.4,62,7,0.04375,0.41875,559
1472,2926,13,20,4/17/2009,3.9,61,2,0.134285714,0.454761905,224
3990,884,13,20,11/30/2006,5,1,5,-0.133950617,0.543209877,565
2131,1469,13,20,12/1/2013,4.6,8,10,0.233549784,0.565800866,511
3941,1363,13,20,1/3/2013,5,7,7,-0.085714286,0.381462585,144
4249,1072,8,20,9/28/2013,4.7,5,5,0.070175439,0.571491228,1455.9
3772,1038,13,20,8/20/2008,3.8,18,7,0,0.2,645
3061,1182,8,20,7/8/2015,4.5,16,7,0.39530303,0.618787879,427
1255,3994,8,20,7/11/1905,4.6,6,9,0.191486291,0.479280904,560
682,466,13,20,7/3/2014,5,3,10,0.144727891,0.681519274,395.1
3416,923,13,20,12/29/2006,5,2,1,0.261904762,0.433862434,386
919,3490,13,20,2/22/2014,4.1,98,2,-0.088541667,0.45,226
539,2885,13,20,11/1/2012,4.8,12,0,0.155939394,0.531575758,303
3199,2477,13,20,3/30/2012,4.8,14,1,0.268261905,0.417047619,1383
6362,792,13,11,1/12/2017,3.8,3,0,0.105643739,0.50335097,235
5213,813,13,20,6/16/2016,4.4,97,2,0.085,0.58,427
3886,46,17,11,6/7/2018,2,1,1,0.377777778,0.477777778,587
6280,2607,12,20,10/5/2000,4.6,7,5,0.059722222,0.388888889,262
5546,3222,13,11,8/24/2018,5,2,2,0.069472194,0.555456765,769
721,3110,13,20,3/22/2019,5,2,6,0.149930556,0.469652778,180
154,4228,13,20,4/21/2017,4.2,7,9,0.066666667,0.492222222,199
1847,540,8,20,10/4/2016,4.1,5,6,0.437373737,0.647727273,370
172,1285,13,20,5/7/2015,4.7,285,0,0.028007112,0.549847969,259
4950,1538,13,20,1/1/2013,4.1,29,1,-0.4,0.4,444.25
3203,3306,13,20,7/8/1905,5,1,4,0.243333333,0.499047619,743
6127,4151,8,20,12/25/2016,3.7,27,2,0.042948718,0.519230769,360
