id,Country Name,Country Code,Year,Inflation,GDP,Exports,Trade
0,Cyprus,CYP,2001,3.65716629,3.60066503,976000000,46.35997897
1,Benin,BEN,1995,15.09945191,6.045198648,420000000,53.72674037
2,Bangladesh,BGD,1995,7.144938703,5.121277897,3501000000,26.8715543
3,Paraguay,PRY,1978,9.706191149,12.02872995,256970000,27.23065397
4,Morocco,MAR,1987,3.014808423,-0.325004076,2826000000,32.41863255
5,United Kingdom,GBR,1981,11.5504254,-0.770989934,1.02E+11,37.90033454
6,Vanuatu,VUT,1983,1.809912777,13.83309493,29000000,84.45042493
7,Latvia,LVA,2007,20.116005,9.97926933,8308345092,76.46966126
8,Portugal,PRT,1992,11.44603161,1.089476534,18350000000,44.54442582
9,St. Kitts and Nevis,KNA,2008,3.1442647,6.291915218,51168000,50.90625749
10,Mongolia,MNG,2013,2.907848339,11.64891619,4269100000,84.46031194
11,Uganda,UGA,2013,4.025024791,3.586905826,2407736000,33.43656628
12,Ghana,GHA,2016,17.42459053,3.576648193,11283453000,57.70792645
13,Liberia,LBR,2010,5.473707484,6.099944692,222000000,72.08185119
14,Benin,BEN,1989,2.224934457,-2.854160496,218000000,42.53493823
15,Portugal,PRT,2003,3.439044132,-0.934205168,31757358754,47.86329989
16,Niger,NER,2001,3.984064312,7.104340612,272000000,35.16734212
17,Pakistan,PAK,1982,9.371654212,6.5374868,2397000000,25.58747303
18,Swaziland,SWZ,2016,5.258830205,1.368694073,1657332626,82.82958789
19,Ukraine,UKR,1996,66.14566294,-9.999999974,14401000000,71.82536043
20,Togo,TGO,1997,2.036034535,14.37737758,424000000,71.3165455
21,Philippines,PHL,1988,9.647022879,6.752544481,7032000000,41.58061732
22,Colombia,COL,2013,1.992707158,4.874065579,58823661000,31.09497292
23,China,CHN,2012,2.392484151,7.85626211,2.05E+12,45.17373548
24,Philippines,PHL,1981,11.70313893,3.423269177,5655000000,39.65054894
25,Poland,POL,2000,6.114610233,4.559571179,31747232655,46.99416145
26,Samoa,WSM,2005,0.856081316,4.156492103,87170055,70.42376374
27,Senegal,SEN,2010,1.849308274,4.179363063,2161128000,53.62126998
28,Honduras,HND,1983,6.964269905,-0.924352309,672000000,47.93630237
29,Bangladesh,BGD,2000,3.44665935,5.293294718,6389000000,28.615441
30,Slovak Republic,SVK,2002,3.952387613,4.522792238,14405371882,88.27261618
31,Azerbaijan,AZE,2013,0.456972658,5.796678396,31702945000,56.66265436
32,Solomon Islands,SLB,1992,13.16552234,12.69044733,102000000,56.49746641
33,Turkey,TUR,2000,49.34068172,6.640061263,27775000000,30.14073693
34,Solomon Islands,SLB,2007,5.880056473,7.320001264,164551751.2,88.77695619
35,Colombia,COL,1968,9.046203265,6.427444336,558500000,20.30766335
36,Solomon Islands,SLB,2001,3.735265319,-7.978564432,47000000,34.21036284
37,Kazakhstan,KAZ,1995,160.8886735,-8.200000003,5250000000,44.45304559
38,Zambia,ZMB,2005,16.65019907,7.235599007,1809763000,52.42248032
39,Malaysia,MYS,1995,3.633486833,9.82908212,73914000000,170.9093009
40,China,CHN,2010,6.944445338,10.63614046,1.58E+12,48.74915601
41,Paraguay,PRY,1992,14.08292064,1.696428011,657000000,29.04676307
42,Tunisia,TUN,1999,3.361418922,6.054634515,5872000000,62.52700711
43,Poland,POL,2011,3.22912192,5.0172352,1.89E+11,75.52005575
44,Pakistan,PAK,1981,9.913532815,7.920763572,2883000000,30.2982795
45,Nigeria,NGA,1979,11.48876315,6.759430935,17334100000,58.29993941
46,Brazil,BRA,1988,651.1138557,-0.102672718,33494000000,14.99678953
47,India,IND,2008,8.664665347,3.890957062,1.95E+11,43.46085357
48,Singapore,SGP,1986,-1.236748344,1.327634019,22495000000,258.5235841
49,Oman,OMN,1991,-8.498092243,6.074078508,4871000000,72.28331957
50,South Africa,ZAF,1966,4.372091476,4.438308267,2741340000,41.57476916
51,Russian Federation,RUS,2007,13.8043754,8.535080209,3.54E+11,44.46308123
52,Papua New Guinea,PNG,1986,1.35686909,4.693057066,1033000000,79.79505501
53,Moldova,MDA,1998,5.646234845,-6.54219202,630000000,100.518622
54,Germany,DEU,1972,4.531857145,4.300341294,46736500000,29.16788129
55,Italy,ITA,1998,2.5298088,1.616076034,2.46E+11,36.66291554
56,South Africa,ZAF,1965,2.954124952,6.122760827,2546740000,45.08242337
57,Greece,GRC,2009,2.569771121,-4.300733667,20469098153,27.2476574
58,Cyprus,CYP,1998,3.362835881,5.23555375,1061000000,45.83954111
59,Denmark,DNK,1998,1.232211919,2.218161888,49012582000,54.17482399
60,Belize,BLZ,2005,2.681530148,2.578742031,319111395,81.85540627
61,Greece,GRC,1976,16.43448753,6.851897986,2561110000,27.66938702
62,Guinea-Bissau,GNB,1996,39.23371349,11.6,28000000,42.52647504
