predict,0to3,10to15,15to25,25to50,3to6,6to10
10to15,0.047811637,0.403933669,0.259872536,0.082709857,0.056478246,0.149194055
0to3,0.67394365,0.053284698,0.048578321,0.017875508,0.145392549,0.060925275
6to10,0.066921318,0.295049328,0.054462456,0.024866667,0.226427083,0.332273148
0to3,0.489165859,0.117432438,0.158461986,0.039245307,0.111457698,0.084236712
0to3,0.642336592,0.098232229,0.106133194,0.040134526,0.064255436,0.048908023
10to15,0.023508101,0.388914643,0.130267206,0.05200415,0.056860141,0.34844576
25to50,0.022649477,0.31164993,0.207320831,0.348093098,0.020084693,0.090201972
0to3,0.497513244,0.153896416,0.098184683,0.03988777,0.075875494,0.134642393
10to15,0.04395317,0.339717219,0.275053804,0.038539175,0.033287386,0.269449246
0to3,0.799321248,0.048022809,0.045814236,0.025990839,0.050525807,0.030325061
15to25,0.012968156,0.185955664,0.443315386,0.298669796,0.012436912,0.046654086
15to25,0.02746713,0.374508041,0.424188282,0.052583647,0.016650531,0.104602369
10to15,0.026994234,0.490460402,0.121280628,0.036455154,0.060829638,0.263979944
15to25,0.008290016,0.22053993,0.389954729,0.270534389,0.01117067,0.099510266
3to6,0.04700705,0.236915814,0.072117557,0.031907071,0.31577994,0.296272567
10to15,0.101609004,0.390783568,0.126092776,0.042255125,0.083676924,0.255582603
6to10,0.272566965,0.122489869,0.041710458,0.01891929,0.240698348,0.30361507
0to3,0.513843714,0.150107974,0.093520946,0.040720943,0.073932854,0.12787357
15to25,0.015489632,0.398287599,0.448884259,0.041811739,0.020829158,0.074697613
6to10,0.08889122,0.280346639,0.04285151,0.017361986,0.217282237,0.353266408
6to10,0.158107083,0.139050067,0.072840248,0.023310088,0.299218321,0.307474193
25to50,0.019533814,0.223340718,0.123622834,0.557796889,0.012937651,0.062768095
10to15,0.054277499,0.347026364,0.128619762,0.102649568,0.061373007,0.306053799
6to10,0.072125573,0.250802075,0.044183203,0.017496838,0.13955945,0.47583286
15to25,0.022857697,0.393870943,0.40675451,0.031629544,0.032340818,0.112546488
0to3,0.43699193,0.223964309,0.106150296,0.050680789,0.067631649,0.114581028
25to50,0.007560721,0.097406565,0.262617294,0.603643228,0.005807555,0.022964637
15to25,0.037655986,0.350793529,0.354860896,0.066894473,0.057365184,0.132429931
15to25,0.012218916,0.296710557,0.425468568,0.118442481,0.019169297,0.127990182
10to15,0.113362739,0.328355396,0.117571607,0.051128336,0.091259431,0.298322491
10to15,0.270272678,0.362280759,0.148463378,0.048311282,0.088827567,0.081844337
