TITLE,RESTAURANT_ID,CUISINES,TIME,CITY,LOCALITY,RATING,VOTES,COST,,,,,,,,,,,,,,,,,,,
CASUAL,9438,Malwani,11,Thane,Dombivali,3.6,49,1200,,,,,,,,,,,,,,,,,,,
CASUAL,13198,Asian,6,Chennai,Ramapuram,4.2,30,1500,,,,,,,,,,,,,,,,,,,
CASUAL,10915,North,11,Chennai,Saligramam,3.8,221,800,,,,,,,,,,,,,,,,,,,
QUICK,6346,Tibetan,0:00,Mumbai,Bandra,4.1,24,800,,,,,,,,,,,,,,,,,,,
DESSERT,15387,Desserts,11,Mumbai,Lower,3.8,165,300,,,,,,,,,,,,,,,,,,,
CASUAL,5618,North,12,Mumbai,Vile,4.0,550,800,,,,,,,,,,,,,,,,,,,
CAFÉ,4383,Cafe,12,Bangalore,Koramangala,4.1,509,600,,,,,,,,,,,,,,,,,,,
MICROBREWERY,1249,Bar,1,Gurgaon,Sector,4.3,1612,1600,,,,,,,,,,,,,,,,,,,
QUICK,7062,South,7,Bangalore,Bannerghatta,3.9,101,300,,,,,,,,,,,,,,,,,,,
QUICK,10109,North,11,Hyderabad,Dilsukhnagar,3.3,219,200,,,,,,,,,,,,,,,,,,,
CASUAL,38,North,0:00,Bangalore,Koramangala,4.1,244,900,,,,,,,,,,,,,,,,,,,
QUICK,844,Fast,11,Bangalore,Indiranagar,4.0,274,800,,,,,,,,,,,,,,,,,,,
CASUAL,938,Arabian,11,Kochi,Chullickal,3.4,15,600,,,,,,,,,,,,,,,,,,,
CASUAL,4319,South,11,Kochi,Edappally,-,,400,,,,,,,,,,,,,,,,,,,
QUICK,15024,Maharashtrian,Closed,Thane West,Majiwada,4.0,160,300,,,,,,,,,,,,,,,,,,,
CASUAL,12401,Parsi,0:00,Hyderabad,Jubilee,4.5,2499,1400,,,,,,,,,,,,,,,,,,,
CASUAL,5254,North,0:00,Mumbai,Borivali,3.6,319,900,,,,,,,,,,,,,,,,,,,
CASUAL,8259,North,11,Hyderabad,Nagole,3.5,121,600,,,,,,,,,,,,,,,,,,,
CASUAL,4009,Chinese,11,Andheri Lokhandwala,Andheri,3.6,535,600,,,,,,,,,,,,,,,,,,,
BAKERY,11841,Bakery,Closed,New Delhi,Krishna,4.1,350,200,,,,,,,,,,,,,,,,,,,
CASUAL,6465,Continental,0:00,Hyderabad,Hitech,4.2,400,350,,,,,,,,,,,,,,,,,,,
QUICK,1048,North,0:00,New Delhi,Karol,4.0,1327,500,,,,,,,,,,,,,,,,,,,
None,12499,North,11,New Delhi,SDA,4.0,1191,450,,,,,,,,,,,,,,,,,,,
CASUAL,10412,Andhra,11,Bangalore,Thippasandra,3.9,533,600,,,,,,,,,,,,,,,,,,,
CAFÉ,2389,Cafe,11,New Delhi,Dwarka,4.2,493,700,,,,,,,,,,,,,,,,,,,
QUICK,6551,Biryani,12,Kochi,Kakkanad,3.8,372,400,,,,,,,,,,,,,,,,,,,
CASUAL,13446,North,0:00,Bangalore,HSR,3.4,105,700,,,,,,,,,,,,,,,,,,,
BAR,10277,Italian,Closed,Chennai,Vadapalani,4.1,178,1400,,,,,,,,,,,,,,,,,,,
BAR,4222,Finger,11,Chennai,Neelangarai,4.3,150,1000,,,,,,,,,,,,,,,,,,,
PUB,6577,Finger,0:00,Bangalore,Koramangala,4.2,2456,1400,,,,,,,,,,,,,,,,,,,
QUICK,6097,South,7,Chennai,Korattur,3.5,38,200,,,,,,,,,,,,,,,,,,,
CAFÉ,2802,Cafe,8,Gurgaon,DLF,4.0,546,500,,,,,,,,,,,,,,,,,,,
CAFÉ,7836,Cafe,10,Andheri West,Versova,4.0,2228,1200,,,,,,,,,,,,,,,,,,,
QUICK,2151,South,7,Kochi,Palarivattom,4.4,250,300,,,,,,,,,,,,,,,,,,,
BEVERAGE,1494,Beverages,6,Chennai,Besant,2.7,132,500,,,,,,,,,,,,,,,,,,,
QUICK,14397,Asian,24,Bangalore,International,3.3,7,500,,,,,,,,,,,,,,,,,,,
QUICK,2331,Arabian,0:00,Chennai,Sholinganallur,3.7,41,400,,,,,,,,,,,,,,,,,,,
CAFÉ,4455,Cafe,0:00,Bangalore,MG,4.3,69,800,,,,,,,,,,,,,,,,,,,
CASUAL,14435,Continental,12,Chennai,Nungambakkam,4.0,299,1000,,,,,,,,,,,,,,,,,,,
QUICK,10103,North,10,Bangalore,KR,3.4,15,250,,,,,,,,,,,,,,,,,,,
QUICK,7679,North,12,Hyderabad,Kondapur,3.3,68,200,,,,,,,,,,,,,,,,,,,
QUICK,6567,North,0:00,Bangalore,Ulsoor,3.8,44,300,,,,,,,,,,,,,,,,,,,
QUICK,10688,South,4,Kochi,Kaloor,3.3,46,250,,,,,,,,,,,,,,,,,,,
QUICK,12547,North,11,Hyderabad,Begum,4.0,120,400,,,,,,,,,,,,,,,,,,,
QUICK,3458,American,11,Bangalore,Bannerghatta,4.2,289,400,,,,,,,,,,,,,,,,,,,
CASUAL,2432,Tibetan,0:00,Gurgaon,Sector,4.1,263,800,,,,,,,,,,,,,,,,,,,
FINE,3252,European,24,Hyderabad,Hitech,4.0,443,2000,,,,,,,,,,,,,,,,,,,
CASUAL,2003,Continental,12,Malad East,Film,3.9,985,1400,,,,,,,,,,,,,,,,,,,
CASUAL,14131,Italian,0:00,Bangalore,Indiranagar,4.7,1824,1200,,,,,,,,,,,,,,,,,,,
DESSERT,3378,Ice,11,Bangalore,Whitefield,4.3,518,400,,,,,,,,,,,,,,,,,,,
CASUAL,13222,North,8,Kochi,Chittoor,3.3,12,400,,,,,,,,,,,,,,,,,,,
CAFÉ,2419,Cafe,11,Bangalore,Bannerghatta,4.0,236,700,,,,,,,,,,,,,,,,,,,
