id,realtionship_status,industry,genre,targeted_sex,average_runtime(minutes_per_week),airtime,airlocation,ratings,expensive,money_back_guarantee,netgain
19717,3,1,1,2,45,3,39,0.027464672,3,1,0
31593,2,2,1,2,45,3,39,0.027464672,1,1,0
5681,1,4,1,1,45,3,39,0.027464672,3,2,0
15491,5,3,4,1,40,3,39,0.027464672,1,1,0
23587,2,2,1,2,48,3,39,0.027464672,3,1,1
28523,1,1,1,1,40,3,39,0.027464672,1,2,0
12290,2,2,4,2,50,1,28,0.027464672,3,1,0
20866,4,3,4,2,40,3,39,0.027464672,1,2,0
21312,2,2,1,2,40,1,39,0.027464672,3,1,0
16479,4,5,1,1,35,1,39,0.027464672,1,1,0
9875,4,3,4,2,20,3,39,0.027464672,3,1,0
23314,4,1,1,1,25,1,39,0.027464672,1,1,0
9457,2,2,1,2,72,2,39,0.057642745,1,2,0
6387,4,3,4,2,48,1,39,0.027464672,1,1,0
10499,4,3,1,2,35,3,39,0.027464672,1,1,0
27353,3,3,1,2,40,1,39,0.027464672,3,1,0
52,2,2,1,2,40,3,26,0.027464672,3,2,0
5380,2,2,1,2,56,1,39,0.173579841,2,1,1
7209,2,3,3,2,40,1,25,0.027464672,1,2,0
7660,2,2,1,2,45,3,39,0.027464672,1,1,1
26880,2,2,1,2,50,3,39,0.027464672,2,1,0
10217,2,2,1,2,60,2,39,0.118747751,3,1,1
12594,2,2,1,2,25,2,39,0.027464672,1,1,0
17290,4,3,1,1,35,1,39,0.027464672,1,2,0
29820,6,4,4,1,20,3,39,0.027464672,1,2,0
28656,4,4,4,1,40,1,39,0.027464672,1,1,0
23030,2,2,1,2,40,3,39,0.027464672,1,2,0
5834,1,1,1,1,50,1,39,0.027464672,1,2,1
10943,2,2,1,2,45,3,39,0.027464672,1,2,0
12404,4,3,1,1,24,1,19,0.027464672,1,2,0
14186,2,2,1,2,40,3,39,0.027464672,2,1,1
15684,2,2,1,2,45,3,39,0.027464672,1,2,0
22903,1,1,4,2,40,3,39,0.027464672,3,2,0
24194,6,1,1,2,6,2,39,0.027464672,1,2,0
23935,6,1,1,1,35,3,39,0.027464672,1,1,0
17767,4,1,1,1,40,1,39,0.027464672,3,1,0
19471,4,1,1,2,40,1,39,0.027464672,3,1,0
997,2,6,1,1,12,3,39,0.027464672,1,2,1
13444,6,1,1,1,60,3,39,0.027464672,3,2,0
22487,2,2,1,2,40,2,39,0.027464672,1,1,0
17002,1,4,1,1,40,3,39,0.027464672,1,2,0
5767,1,4,1,1,73,3,39,0.027464672,1,2,0
15095,1,1,1,2,40,3,39,0.027464672,1,1,0
11603,2,2,3,2,45,3,18,0.027464672,1,2,0
26237,4,3,4,1,24,1,26,0.027464672,1,1,0
15786,4,3,4,2,30,1,39,0.027464672,1,2,0
11853,4,1,1,2,32,1,26,0.027464672,1,2,0
18031,2,6,4,1,40,2,39,0.027464672,1,1,0
19033,2,2,1,2,45,3,31,0.027464672,1,2,1
29447,6,1,1,2,45,3,39,0.027464672,1,1,1
16971,1,1,1,2,30,3,39,0.027464672,3,2,0
5931,2,2,1,2,40,3,39,0.027464672,1,2,0
3080,2,2,1,2,40,1,39,0.027464672,3,1,0
32519,2,2,1,2,60,3,39,0.027464672,1,2,1
31574,4,3,1,2,40,1,39,0.027464672,3,2,0
27390,2,2,1,2,45,3,39,0.027464672,1,2,1
7404,4,3,1,1,40,1,39,0.027464672,3,1,0
9658,5,1,1,2,25,3,39,0.027464672,1,1,0
4085,2,6,1,1,35,3,39,0.102233936,3,1,1
227,2,2,1,2,40,3,39,0.027464672,1,1,0
20494,4,3,1,2,30,1,39,0.027464672,3,1,0
15675,4,3,1,2,40,1,39,0.027464672,3,1,0
8276,2,2,1,2,50,3,39,0.027464672,3,2,1
28782,2,2,1,2,40,1,39,0.027464672,2,1,0
3812,2,2,1,2,40,3,31,0.027464672,1,2,0
19038,1,4,1,2,60,3,39,0.027464672,1,2,1
8544,4,3,1,1,20,1,39,0.027464672,1,1,0
6411,4,3,1,2,25,1,39,0.027464672,3,1,0
28028,2,6,1,1,40,3,39,0.027464672,1,2,1
29539,4,1,1,2,36,1,39,0.027464672,1,2,0
14439,4,1,1,1,40,1,39,0.027464672,2,1,0
6312,4,1,1,2,20,1,39,0.027464672,3,1,0
8672,2,2,1,2,40,3,39,0.027464672,2,1,0
